Hybridization REF	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.827459654876726	ATP2A1	16	28890100
cg00002426	0.0583733626706946	SLMAP	3	57743543
cg00003994	0.207652172639787	MEOX2	7	15725862
cg00005847	0.095442649739086	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0360909890381214	PANX1	11	93862594
cg00008493	0.989262486925816	COX8C;KIAA1409	14	93813777
cg00008713	0.0138078667815434	IMPA2	18	11980953
cg00009407	0.0106196655034796	TTC8	14	89290921
cg00010193	0.55777964234931	NA	NA	0
cg00011459	0.959755301931857	TMEM186;PMM2	16	8890425
cg00012199	0.0128028156200698	ANG;RNASE4	14	21151024
cg00012386	0.019411049814522	JMJD4;SNAP47	1	227922512
cg00012792	0.0183289833883472	MUTED	6	8064493
cg00013618	0.907252540284687		22	22380839
cg00014085	0.0140228562104418	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.148996234013884	QRFPR	4	122302007
cg00016968	0.264645570989889	RHOC	1	113250448
cg00019495	0.127556281709693	HOPX	4	57547525
cg00020533	0.947545168646634	TULP1	6	35480916
cg00021527	0.0142160138904797	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.81887379295502	CCDC88B	11	64108440
cg00024396	0.0148297010399021	ELOVL5	6	53214008
cg00024812	0.0203704525290339	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0110272882523051	MAP3K9	14	71275917
cg00025991	0.543474316083731	DIP2C	10	736625
cg00027083	0.0132752440998042	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0733484524902521	CCNB1IP1	14	20801459
cg00029931	0.537415830655662	RPL36A	X	100645741
cg00030047	0.138099280382934	RNF207	1	6268790
cg00031162	0.488820593709072	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0114945920371058	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0290020045762831	FLJ13197;KLF3	4	38666773
cg00033773	0.829141149630808	MORG1;C19orf56	19	12779366
cg00034039	0.0571686749889883	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0411368256876099	UBE2S	19	55919836
cg00037763	0.945924126523903	SETBP1	18	42281763
cg00037940	0.886003554790059	PIK3CB	3	138479285
cg00040861	0.0137749714891426	LSM7;SPPL2B	19	2328391
cg00040873	0.0221561692619151	NDUFB10	16	2009157
cg00041575	0.888805883917195	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.052852401425218	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0208718773445218	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0226463387464843	CUL5	11	107879431
cg00047469	0.0126908734758979	POLE3;C9orf43	9	116172568
cg00049986	0.209437092384907	NA	NA	0
cg00050312	0.0149684118024134	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0254072002905361	C10orf4	10	95462161
cg00053292	0.0184964151356217	TACO1	17	61678300
