Hybridization REF	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.542197981061136	ATP2A1	16	28890100
cg00002426	0.134815658610237	SLMAP	3	57743543
cg00003994	0.0288595762776354	MEOX2	7	15725862
cg00005847	0.39629586567082	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0289554112596281	PANX1	11	93862594
cg00008493	0.991190525855836	COX8C;KIAA1409	14	93813777
cg00008713	0.0166709431288875	IMPA2	18	11980953
cg00009407	0.011577713816625	TTC8	14	89290921
cg00010193	0.551041519606588	NA	NA	0
cg00011459	0.90923580119304	TMEM186;PMM2	16	8890425
cg00012199	0.0120006197308471	ANG;RNASE4	14	21151024
cg00012386	0.0201231844031371	JMJD4;SNAP47	1	227922512
cg00012792	0.0806116412113915	MUTED	6	8064493
cg00013618	0.866940068437368		22	22380839
cg00014085	0.0107709704385089	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.0910754402929861	QRFPR	4	122302007
cg00016968	0.433428508692463	RHOC	1	113250448
cg00019495	0.297564669733048	HOPX	4	57547525
cg00020533	0.95488126836581	TULP1	6	35480916
cg00021527	0.0429605827674557	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.704410922526661	CCDC88B	11	64108440
cg00024396	0.0234400646353959	ELOVL5	6	53214008
cg00024812	0.0148640616493769	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0108378067030043	MAP3K9	14	71275917
cg00025991	0.525413524111645	DIP2C	10	736625
cg00027083	0.0280881487070267	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0743953193993142	CCNB1IP1	14	20801459
cg00029931	0.266403943203776	RPL36A	X	100645741
cg00030047	0.395587131561277	RNF207	1	6268790
cg00031162	0.396294936026749	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0103081258772113	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0318427646894079	FLJ13197;KLF3	4	38666773
cg00033773	0.672801262930856	MORG1;C19orf56	19	12779366
cg00034039	0.17539993734917	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0460069912025773	UBE2S	19	55919836
cg00037763	0.882647510480221	SETBP1	18	42281763
cg00037940	0.923212660797321	PIK3CB	3	138479285
cg00040861	0.0138431644940798	LSM7;SPPL2B	19	2328391
cg00040873	0.0672596161857503	NDUFB10	16	2009157
cg00041575	0.703110638460341	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
