Hybridization REF	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.55465503730796	ATP2A1	16	28890100
cg00002426	0.0893090813086081	SLMAP	3	57743543
cg00003994	0.258482918479708	MEOX2	7	15725862
cg00005847	0.542674205097621	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0675945008466141	PANX1	11	93862594
cg00008493	0.986286853945236	COX8C;KIAA1409	14	93813777
cg00008713	0.0195832810446972	IMPA2	18	11980953
cg00009407	0.0128501968602548	TTC8	14	89290921
cg00010193	0.575326296750674	NA	NA	0
cg00011459	0.92610551986066	TMEM186;PMM2	16	8890425
cg00012199	0.0178976118979266	ANG;RNASE4	14	21151024
cg00012386	0.0258772815105667	JMJD4;SNAP47	1	227922512
cg00012792	0.0457382371498466	MUTED	6	8064493
cg00013618	0.874632698938197		22	22380839
cg00014085	0.0153410473271478	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.304677596097445	QRFPR	4	122302007
cg00016968	0.401627333343974	RHOC	1	113250448
cg00019495	0.182568389132957	HOPX	4	57547525
cg00020533	0.944148170025772	TULP1	6	35480916
cg00021527	0.0554985047210044	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.776820477320962	CCDC88B	11	64108440
cg00024396	0.029923388044564	ELOVL5	6	53214008
cg00024812	0.0335876865057538	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0116969559870658	MAP3K9	14	71275917
cg00025991	0.599002441039008	DIP2C	10	736625
cg00027083	0.599884077121648	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0781917386184855	CCNB1IP1	14	20801459
cg00029931	0.249449623071359	RPL36A	X	100645741
cg00030047	0.353910397314798	RNF207	1	6268790
cg00031162	0.640682579676444	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00969428390697537	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0632050283147088	FLJ13197;KLF3	4	38666773
cg00033773	0.791670833678245	MORG1;C19orf56	19	12779366
cg00034039	0.167739811558308	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0979033893847043	UBE2S	19	55919836
cg00037763	0.895891451200602	SETBP1	18	42281763
cg00037940	0.956897701471152	PIK3CB	3	138479285
cg00040861	0.0156659968631493	LSM7;SPPL2B	19	2328391
cg00040873	0.163115338572591	NDUFB10	16	2009157
cg00041575	0.692054708723335	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0611256805416818	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0198345106780339	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0396715117136864	CUL5	11	107879431
cg00047469	0.0485686140876641	POLE3;C9orf43	9	116172568
cg00049986	0.206875704017404	NA	NA	0
cg00050312	0.0149788748843934	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0620872099954574	C10orf4	10	95462161
cg00053292	0.0227065611691538	TACO1	17	61678300
cg00053647	0.0459655843456051	C7orf28B	7	6866072
cg00054706	0.0314448205302903	C1D	2	68289972
cg00055233	0.286168154677622	RLN1	9	5339677
cg00056767	0.0193633958546461	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.299382625313282	GLRA1	5	151304357
cg00059424	0.0332173519685603	PES1	22	30988148
cg00059740	0.00889337541476592	C7orf49	7	134855689
cg00059930	0.879340441971528	RB1	13	48894382
cg00060762	0.034261581366495	LEO1	15	52264133
cg00060882	0.124621659011313	EIF2S3	X	24072811
cg00061059	0.0516955042852588	TECR	19	14640983
cg00061629	0.783032732665798	ALX4	11	44325258
cg00062776	0.988055323875523	TULP2	19	49402424
cg00063144	0.942617049282935	KRT31	17	39554055
cg00065385	0.958965399458845	ACTL7A	9	111623395
cg00065408	0.0327909680335786	CACNB3	12	49212475
cg00066153	0.960401463827179	ACRV1	11	125550744
cg00066816	0.248145139453622	IL12B	5	158758353
cg00067471	0.0681164729300882	ATP5D	19	1241377
cg00069261	0.0323591990766583	CDR2	16	22386531
cg00071250	0.784808986506856	FASLG	1	172628263
cg00071998	0.0168088205640506	MSH5	6	31708121
cg00072216	0.0160969029149274	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.228541407200259	STRA6	15	74495354
cg00076645	0.0200784030135067	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.739409685517933	ASAP1	8	131414474
cg00078194	0.0139485051173119	MDK	11	46402949
cg00078867	0.757091278588567	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0308908838759213	ARFGAP3	22	43253521
cg00080012	0.0151537908921636	EED	11	85955689
cg00081935	0.0216880807095288	TSPAN9	12	3186906
cg00081975	0.013951122358736	ABCC3	17	48712370
cg00083720	0.0144783488167918	NA	NA	0
cg00083937	0.511946173107475	MAPK8IP2	22	51039805
cg00084687	0.0102087981348137	GATAD1	7	92076896
cg00089071	0.0155559942953022	PCGF2	17	36905809
cg00090147	0.25978627527537	GATA4	8	11562367
cg00091693	0.747780795996449	KRT20	17	39041602
cg00093177	0.928541302351645		17	37185495
cg00094319	0.691805652146695	PABPC3	13	25670530
cg00094851	0.0469447631427826	KIF3C	2	26205706
cg00095526	0.810481344674328	CACNA1S	1	201081686
cg00095674	0.0658514795580556	PLEKHO1	1	150122654
cg00096922	0.0241324149293533	DLX5	7	96654185
cg00097536	0.00903048696734082	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.00996537588059201	PNPLA6	19	7599173
cg00099550	0.0374864418168618	NA	NA	0
cg00101227	0.872809942213904	MPZ	1	161280266
cg00103783	0.0118428381393433	MPDU1	17	7487249
cg00105253	0.0187402452573436	NUDT14	14	105647194
cg00105470	0.0174963656344021	C1orf35	1	228290868
cg00107187	0.154624129058878	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0217374276682597	PGM2	4	37828500
cg00108454	0.417185232197467	C1QA	1	22963614
cg00109274	0.0831381640480031	DGKH	13	42623032
cg00112517	0.0732342678276602	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.044386707141547	CABP1	12	121078090
cg00115714	0.302826098838268	AMD1	6	111196112
cg00116234	0.0427772132207553	ADAMTSL1	9	18474243
cg00116838	0.206593193958961	RTN2;FLJ40125	19	46001746
cg00117172	0.468921893463183	RUNX3	1	25255838
cg00119079	0.0252443462854631	LAMP3	3	182880278
cg00121158	0.0107229733539995	KDM4C	9	6757826
cg00121640	0.045597002299719	ASTN2	9	120176515
cg00121904	0.110950512135352	MAOB	X	43741826
cg00123035	0.0203206772784406	RFX5	1	151319538
cg00126034	0.0475095877897466	WNT3	17	44896162
cg00126657	0.459035510651837	SSX6	X	47967250
cg00126698	0.824555419935201	BTK	X	100640503
cg00128197	0.352853263754821	HSD17B10	X	53461455
cg00128560	0.974510637653441	TIGD7	16	3352013
cg00128654	0.0183232408223848	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0322037022553914	MKNK1	1	47070178
cg00129774	0.0186394865416895	CDK2;SILV	12	56360414
cg00131121	0.0164573765454372	POLR2J	7	102119710
cg00131557	0.93051770370412	DNAJC15	13	43596656
cg00132141	0.606586144913941	CTNNA3	10	69456307
cg00133909	0.0425848222234677	CD276	15	73977201
cg00134539	0.831970271169968	UBASH3A	21	43824071
cg00134787	0.724526169152633	MYH1	17	10419499
cg00135056	0.0818594956284852	C3orf37	3	128997295
cg00135393	0.423606691428596	NA	NA	0
cg00136105	0.016872093715448	GNPTAB	12	102224911
cg00136405	0.575953310426362	IL21	4	123542198
cg00136477	0.821514171380463	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.783119640720487	PMEPA1	20	56286697
cg00141162	0.612490378503694	HCLS1	3	121379777
cg00141550	0.724435820490235	NA	NA	0
cg00141845	0.143154855638382	UPRT	X	74493352
cg00143376	0.621096052528265	NMUR1	2	232394702
cg00143998	0.0338877823281469	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.248721861838973	GNPDA1	5	141393931
cg00145348	0.458463184081663	APEX2	X	55026862
cg00146096	0.0242937477104431	FANCF	11	22647309
cg00149659	0.0198530164179961	C3orf10	3	10157352
cg00149976	0.0124836969087735	MGLL	3	127541529
cg00151234	0.365686425607099	PGK1	X	77359363
cg00151607	0.00895572094951947	TRAPPC2L;GALNS	16	88923507
cg00152644	0.955240633268483	SPRR2E	1	153068236
cg00155167	0.0302372591631991	VPS13B	8	100025831
cg00155485	0.0433592936489397	MED13L	12	116714600
cg00155609	0.0195687883759338	PRDX2	19	12912527
cg00156216	0.0333336663114226	APLP2	11	129939849
cg00156744	0.0333023593761424	STK10	5	171615663
cg00158308	0.0902466901201416	OXGR1	13	97646341
cg00160914	0.0892095576033273	DDX20;C1orf183	1	112299263
cg00162401	0.0215098036196772	GSTA4	6	52859823
cg00162643	0.0439940466067451	DDX58	9	32526492
cg00164041	0.154105248962916	NA	NA	0
cg00164898	0.0235739331700164	MAPK11	22	50709127
cg00165981	0.064308172692885	COL4A3BP;POLK	5	74808039
