Hybridization REF	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.793465115308432	ATP2A1	16	28890100
cg00002426	0.854725687912419	SLMAP	3	57743543
cg00003994	0.0531389605285623	MEOX2	7	15725862
cg00005847	0.399609767113302	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0449988441150876	PANX1	11	93862594
cg00008493	0.988200811388253	COX8C;KIAA1409	14	93813777
cg00008713	0.0151630952195184	IMPA2	18	11980953
cg00009407	0.0146239046704449	TTC8	14	89290921
cg00010193	0.564001499031803	NA	NA	0
cg00011459	0.954224647335727	TMEM186;PMM2	16	8890425
cg00012199	0.0150429053687728	ANG;RNASE4	14	21151024
cg00012386	0.0312341813025245	JMJD4;SNAP47	1	227922512
cg00012792	0.041761279210912	MUTED	6	8064493
cg00013618	0.845414622136866		22	22380839
cg00014085	0.0190450222724024	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.124731980813119	QRFPR	4	122302007
cg00016968	0.710457974973537	RHOC	1	113250448
cg00019495	0.206648160644457	HOPX	4	57547525
cg00020533	0.952800050042872	TULP1	6	35480916
cg00021527	0.0363100670025323	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.634505273725319	CCDC88B	11	64108440
cg00024396	0.0326569983085534	ELOVL5	6	53214008
cg00024812	0.0462894866593416	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0112185117723719	MAP3K9	14	71275917
cg00025991	0.593474704757814	DIP2C	10	736625
cg00027083	0.195167921256139	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0454235576242137	CCNB1IP1	14	20801459
cg00029931	0.154022603524572	RPL36A	X	100645741
cg00030047	0.508872795011128	RNF207	1	6268790
cg00031162	0.591250801815982	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00939246522865292	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0649730897783388	FLJ13197;KLF3	4	38666773
cg00033773	0.958606671529418	MORG1;C19orf56	19	12779366
cg00034039	0.133090801020931	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0709421179044759	UBE2S	19	55919836
cg00037763	0.950541975893712	SETBP1	18	42281763
cg00037940	0.917673641355252	PIK3CB	3	138479285
cg00040861	0.0201594948055581	LSM7;SPPL2B	19	2328391
cg00040873	0.184676543679249	NDUFB10	16	2009157
cg00041575	0.324090258980081	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
