Hybridization REF	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.711262154134648	ATP2A1	16	28890100
cg00002426	0.23037617324824	SLMAP	3	57743543
cg00003994	0.128804813098979	MEOX2	7	15725862
cg00005847	0.850883738968065	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0363747193535681	PANX1	11	93862594
cg00008493	0.987964739335672	COX8C;KIAA1409	14	93813777
cg00008713	0.0151958225349468	IMPA2	18	11980953
cg00009407	0.0126246058636883	TTC8	14	89290921
cg00010193	0.621121314474741	NA	NA	0
cg00011459	0.950680138214813	TMEM186;PMM2	16	8890425
cg00012199	0.0135955911609011	ANG;RNASE4	14	21151024
cg00012386	0.0156821409536439	JMJD4;SNAP47	1	227922512
cg00012792	0.0154202154426311	MUTED	6	8064493
cg00013618	0.867680610868946		22	22380839
cg00014085	0.0154022924008585	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.747381547259893	QRFPR	4	122302007
cg00016968	0.389048555013373	RHOC	1	113250448
cg00019495	0.195869315090679	HOPX	4	57547525
cg00020533	0.967624736373988	TULP1	6	35480916
cg00021527	0.0108551730905703	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.817178273778637	CCDC88B	11	64108440
cg00024396	0.0152227237776475	ELOVL5	6	53214008
cg00024812	0.0170284215833735	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.014380285135085	MAP3K9	14	71275917
cg00025991	0.666251261248006	DIP2C	10	736625
cg00027083	0.70796340158824	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0658785286313727	CCNB1IP1	14	20801459
cg00029931	0.493302195863283	RPL36A	X	100645741
cg00030047	0.814135904591432	RNF207	1	6268790
cg00031162	0.636530134445228	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0145704237463499	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0352793728995692	FLJ13197;KLF3	4	38666773
cg00033773	0.51876223167936	MORG1;C19orf56	19	12779366
cg00034039	0.0659190735549415	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.120549464416278	UBE2S	19	55919836
cg00037763	0.901082615868627	SETBP1	18	42281763
cg00037940	0.907613468820989	PIK3CB	3	138479285
cg00040861	0.0134025337590699	LSM7;SPPL2B	19	2328391
cg00040873	0.0817845858570846	NDUFB10	16	2009157
cg00041575	0.790699358363847	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0831263674511153	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.026296247855861	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0281261956238124	CUL5	11	107879431
cg00047469	0.0324254038891887	POLE3;C9orf43	9	116172568
cg00049986	0.113657112830619	NA	NA	0
cg00050312	0.0142163957252624	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0311576578172884	C10orf4	10	95462161
cg00053292	0.0157099040735406	TACO1	17	61678300
cg00053647	0.0764975996547461	C7orf28B	7	6866072
cg00054706	0.0146878136585996	C1D	2	68289972
cg00055233	0.250649063396798	RLN1	9	5339677
cg00056767	0.0198243486807273	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.561951853579219	GLRA1	5	151304357
cg00059424	0.0208130914467007	PES1	22	30988148
cg00059740	0.0120914878145439	C7orf49	7	134855689
cg00059930	0.917824256497832	RB1	13	48894382
cg00060762	0.0151892498748956	LEO1	15	52264133
cg00060882	0.0645689839395007	EIF2S3	X	24072811
cg00061059	0.0477882025905556	TECR	19	14640983
cg00061629	0.956168808378443	ALX4	11	44325258
cg00062776	0.989601532201624	TULP2	19	49402424
cg00063144	0.903264093669829	KRT31	17	39554055
cg00065385	0.969818292364241	ACTL7A	9	111623395
cg00065408	0.0333832549337214	CACNB3	12	49212475
cg00066153	0.82539865197087	ACRV1	11	125550744
cg00066816	0.0612710159321208	IL12B	5	158758353
cg00067471	0.0966175277833107	ATP5D	19	1241377
cg00069261	0.0153601067310368	CDR2	16	22386531
cg00071250	0.800708975797197	FASLG	1	172628263
cg00071998	0.0348642505665001	MSH5	6	31708121
cg00072216	0.0195085188752557	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.182774866306549	STRA6	15	74495354
cg00076645	0.0177470350675283	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.716592773397754	ASAP1	8	131414474
cg00078194	0.0183603226138337	MDK	11	46402949
cg00078867	0.865270258794136	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0221408561659893	ARFGAP3	22	43253521
cg00080012	0.0120832238326182	EED	11	85955689
cg00081935	0.0235508125861568	TSPAN9	12	3186906
cg00081975	0.0382430610436991	ABCC3	17	48712370
cg00083720	0.0199966864078906	NA	NA	0
cg00083937	0.772648702979294	MAPK8IP2	22	51039805
cg00084687	0.0165644600005853	GATAD1	7	92076896
cg00089071	0.0145022349335841	PCGF2	17	36905809
cg00090147	0.76382005545936	GATA4	8	11562367
cg00091693	0.263925283412676	KRT20	17	39041602
cg00093177	0.918155386970792		17	37185495
cg00094319	0.802810942251152	PABPC3	13	25670530
cg00094851	0.0910171957127787	KIF3C	2	26205706
cg00095526	0.823835947738555	CACNA1S	1	201081686
cg00095674	0.112623578162551	PLEKHO1	1	150122654
cg00096922	0.574987590147843	DLX5	7	96654185
cg00097536	0.0108263922253302	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0169987896295944	PNPLA6	19	7599173
cg00099550	0.025400062068106	NA	NA	0
cg00101227	0.889157340461402	MPZ	1	161280266
cg00103783	0.0134488185455875	MPDU1	17	7487249
cg00105253	0.0496120559679839	NUDT14	14	105647194
cg00105470	0.0292597268158147	C1orf35	1	228290868
cg00107187	0.532556095065674	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.012142176398832	PGM2	4	37828500
cg00108454	0.345613403774378	C1QA	1	22963614
cg00109274	0.0309637753618941	DGKH	13	42623032
cg00112517	0.102474168984321	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.135920665332665	CABP1	12	121078090
cg00115714	0.0293280581823501	AMD1	6	111196112
cg00116234	0.0248984348628428	ADAMTSL1	9	18474243
cg00116838	0.0312709211432715	RTN2;FLJ40125	19	46001746
cg00117172	0.770893126724517	RUNX3	1	25255838
cg00119079	0.0384668604946421	LAMP3	3	182880278
cg00121158	0.0138151957807491	KDM4C	9	6757826
cg00121640	0.127124728897069	ASTN2	9	120176515
cg00121904	0.500495119741329	MAOB	X	43741826
cg00123035	0.0287707058724211	RFX5	1	151319538
cg00126034	0.0383646143041677	WNT3	17	44896162
cg00126657	0.383873450085872	SSX6	X	47967250
cg00126698	0.844278220582717	BTK	X	100640503
cg00128197	0.507167309234126	HSD17B10	X	53461455
cg00128560	0.964211802655046	TIGD7	16	3352013
cg00128654	0.0142102785022804	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0643213595728049	MKNK1	1	47070178
cg00129774	0.025702214906237	CDK2;SILV	12	56360414
cg00131121	0.0418510765681769	POLR2J	7	102119710
cg00131557	0.959311323632053	DNAJC15	13	43596656
cg00132141	0.281543873088868	CTNNA3	10	69456307
cg00133909	0.0533393952941813	CD276	15	73977201
cg00134539	0.932878130812522	UBASH3A	21	43824071
cg00134787	0.879709728920736	MYH1	17	10419499
cg00135056	0.0739615040179317	C3orf37	3	128997295
cg00135393	0.109033872875032	NA	NA	0
cg00136105	0.0191023171298908	GNPTAB	12	102224911
cg00136405	0.0860187537817747	IL21	4	123542198
cg00136477	0.827425541712102	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.368783218117425	PMEPA1	20	56286697
cg00141162	0.675471940728626	HCLS1	3	121379777
