Hybridization REF	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.914956692755891	ATP2A1	16	28890100
cg00002426	0.540289401060814	SLMAP	3	57743543
cg00003994	0.0739937891629139	MEOX2	7	15725862
cg00005847	0.605900115844107	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.03938706141494	PANX1	11	93862594
cg00008493	0.985735593205965	COX8C;KIAA1409	14	93813777
cg00008713	0.0230707622093744	IMPA2	18	11980953
cg00009407	0.0150883866079302	TTC8	14	89290921
cg00010193	0.502954862656062	NA	NA	0
cg00011459	0.944541624859726	TMEM186;PMM2	16	8890425
cg00012199	0.0137440519499012	ANG;RNASE4	14	21151024
cg00012386	0.0193605389090384	JMJD4;SNAP47	1	227922512
cg00012792	0.0299203434059409	MUTED	6	8064493
cg00013618	0.726132276294966		22	22380839
cg00014085	0.012953515825381	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.0738202054573651	QRFPR	4	122302007
cg00016968	0.442918250061329	RHOC	1	113250448
cg00019495	0.159474685505278	HOPX	4	57547525
cg00020533	0.923456583271032	TULP1	6	35480916
cg00021527	0.0430745061049447	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.694201257666259	CCDC88B	11	64108440
cg00024396	0.0332705677432528	ELOVL5	6	53214008
cg00024812	0.0249268237005858	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0153480789922112	MAP3K9	14	71275917
cg00025991	0.580412937576613	DIP2C	10	736625
cg00027083	0.269134626206451	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0514205805680922	CCNB1IP1	14	20801459
cg00029931	0.341429444502282	RPL36A	X	100645741
cg00030047	0.67997967674984	RNF207	1	6268790
cg00031162	0.636511723981048	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0102956670778539	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0312510194136684	FLJ13197;KLF3	4	38666773
cg00033773	0.916227097761122	MORG1;C19orf56	19	12779366
cg00034039	0.0974147399647991	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.10727447260212	UBE2S	19	55919836
cg00037763	0.941065469549632	SETBP1	18	42281763
