Hybridization REF	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.596290500392451	ATP2A1	16	28890100
cg00002426	0.334006093891492	SLMAP	3	57743543
cg00003994	0.061730575829414	MEOX2	7	15725862
cg00005847	0.393212481676127	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0869152945156511	PANX1	11	93862594
cg00008493	0.986189462906358	COX8C;KIAA1409	14	93813777
cg00008713	0.0199172638063919	IMPA2	18	11980953
cg00009407	0.0132732860027784	TTC8	14	89290921
cg00010193	0.577188149048437	NA	NA	0
cg00011459	0.945194097925907	TMEM186;PMM2	16	8890425
cg00012199	0.0154973529466258	ANG;RNASE4	14	21151024
cg00012386	0.0305177572975502	JMJD4;SNAP47	1	227922512
cg00012792	0.0163741643304206	MUTED	6	8064493
cg00013618	0.291686770023377		22	22380839
cg00014085	0.018583195192791	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.51026623961885	QRFPR	4	122302007
cg00016968	0.399650446159326	RHOC	1	113250448
cg00019495	0.0581044777344098	HOPX	4	57547525
cg00020533	0.841302958211398	TULP1	6	35480916
cg00021527	0.0281747804045469	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.772998816157434	CCDC88B	11	64108440
cg00024396	0.376856160700982	ELOVL5	6	53214008
cg00024812	0.0230600879107677	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.012705248563194	MAP3K9	14	71275917
cg00025991	0.564918479294028	DIP2C	10	736625
cg00027083	0.202933398215685	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0963904487488805	CCNB1IP1	14	20801459
cg00029931	0.272842573698814	RPL36A	X	100645741
cg00030047	0.860083033366988	RNF207	1	6268790
cg00031162	0.608764012432926	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0136363137129853	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0334035129996122	FLJ13197;KLF3	4	38666773
cg00033773	0.645300911821659	MORG1;C19orf56	19	12779366
cg00034039	0.0588219274006268	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.152331981976126	UBE2S	19	55919836
cg00037763	0.921542243243283	SETBP1	18	42281763
cg00037940	0.875658447523802	PIK3CB	3	138479285
cg00040861	0.0161064311212587	LSM7;SPPL2B	19	2328391
cg00040873	0.0622563914551274	NDUFB10	16	2009157
cg00041575	0.164249447360007	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.378600233447731	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.037537212000958	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0343783212084241	CUL5	11	107879431
cg00047469	0.0153600184397848	POLE3;C9orf43	9	116172568
cg00049986	0.199764925413114	NA	NA	0
cg00050312	0.383457669359854	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0299727603118735	C10orf4	10	95462161
cg00053292	0.0173367863317244	TACO1	17	61678300
cg00053647	0.0879069742149511	C7orf28B	7	6866072
cg00054706	0.0163872742114318	C1D	2	68289972
cg00055233	0.702194661865539	RLN1	9	5339677
cg00056767	0.0194187559497482	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.355663451101729	GLRA1	5	151304357
cg00059424	0.0207814528709004	PES1	22	30988148
cg00059740	0.0136347448450049	C7orf49	7	134855689
cg00059930	0.879003404878104	RB1	13	48894382
cg00060762	0.0207613533792455	LEO1	15	52264133
cg00060882	0.0786352762262372	EIF2S3	X	24072811
cg00061059	0.0590861249109276	TECR	19	14640983
cg00061629	0.22365788531458	ALX4	11	44325258
cg00062776	0.987193577638518	TULP2	19	49402424
cg00063144	0.909922361018236	KRT31	17	39554055
cg00065385	0.951753024082353	ACTL7A	9	111623395
cg00065408	0.0193184148628689	CACNB3	12	49212475
cg00066153	0.56901448574331	ACRV1	11	125550744
cg00066816	0.0662112577146169	IL12B	5	158758353
cg00067471	0.0337920325320505	ATP5D	19	1241377
cg00069261	0.0161743043877334	CDR2	16	22386531
cg00071250	0.679931570316288	FASLG	1	172628263
cg00071998	0.0375907146678032	MSH5	6	31708121
cg00072216	0.0130599421087116	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.184135537206807	STRA6	15	74495354
cg00076645	0.0254242600170275	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.785452954603189	ASAP1	8	131414474
cg00078194	0.0157733986055626	MDK	11	46402949
cg00078867	0.496531362640072	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.489887091371074	ARFGAP3	22	43253521
cg00080012	0.012909041754079	EED	11	85955689
cg00081935	0.0331213639344469	TSPAN9	12	3186906
cg00081975	0.0532450375796835	ABCC3	17	48712370
cg00083720	0.0164156413987671	NA	NA	0
cg00083937	0.269098854786425	MAPK8IP2	22	51039805
cg00084687	0.0145093816552389	GATAD1	7	92076896
cg00089071	0.0136005222170082	PCGF2	17	36905809
cg00090147	0.21162409234276	GATA4	8	11562367
cg00091693	0.363419438129524	KRT20	17	39041602
cg00093177	0.459034600513683		17	37185495
cg00094319	0.48612508975988	PABPC3	13	25670530
cg00094851	0.0893490905412507	KIF3C	2	26205706
cg00095526	0.409653445263302	CACNA1S	1	201081686
cg00095674	0.124038182984583	PLEKHO1	1	150122654
cg00096922	0.0496475362598077	DLX5	7	96654185
cg00097536	0.015885746668836	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0123288993430933	PNPLA6	19	7599173
cg00099550	0.027977489553971	NA	NA	0
cg00101227	0.49107363667069	MPZ	1	161280266
cg00103783	0.0182412216397077	MPDU1	17	7487249
cg00105253	0.0314576293603663	NUDT14	14	105647194
cg00105470	0.0229577862650363	C1orf35	1	228290868
cg00107187	0.274238562052035	TMEM179	14	105070998
