Hybridization REF	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.0842886477892964	ATP2A1	16	28890100
cg00002426	0.112505751696682	SLMAP	3	57743543
cg00003994	0.0426394885843175	MEOX2	7	15725862
cg00005847	0.835277200979088	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0472478438364505	PANX1	11	93862594
cg00008493	0.987533442251832	COX8C;KIAA1409	14	93813777
cg00008713	0.0131518766108326	IMPA2	18	11980953
cg00009407	0.011399007268632	TTC8	14	89290921
cg00010193	0.452811047668998	NA	NA	0
cg00011459	0.938392289312195	TMEM186;PMM2	16	8890425
cg00012199	0.0166428511368655	ANG;RNASE4	14	21151024
cg00012386	0.017600896512972	JMJD4;SNAP47	1	227922512
cg00012792	0.0130624468309539	MUTED	6	8064493
cg00013618	0.296376806075905		22	22380839
cg00014085	0.0117060278821156	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.170861992369395	QRFPR	4	122302007
cg00016968	0.313127501452734	RHOC	1	113250448
cg00019495	0.0915694412014873	HOPX	4	57547525
cg00020533	0.480706601746173	TULP1	6	35480916
cg00021527	0.01439402941101	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.278063474226206	CCDC88B	11	64108440
cg00024396	0.01714447377194	ELOVL5	6	53214008
cg00024812	0.016115189042398	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0127263795820398	MAP3K9	14	71275917
cg00025991	0.158125777664397	DIP2C	10	736625
cg00027083	0.0403198240493432	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0968517342054781	CCNB1IP1	14	20801459
cg00029931	0.0706731674536397	RPL36A	X	100645741
cg00030047	0.543305232966705	RNF207	1	6268790
cg00031162	0.125683376083921	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0116260712687658	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.018875167163808	FLJ13197;KLF3	4	38666773
cg00033773	0.738702667989894	MORG1;C19orf56	19	12779366
cg00034039	0.039734446623371	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0398859502287617	UBE2S	19	55919836
cg00037763	0.904498101675684	SETBP1	18	42281763
cg00037940	0.919314669747685	PIK3CB	3	138479285
cg00040861	0.0126861846699776	LSM7;SPPL2B	19	2328391
cg00040873	0.0388545441292921	NDUFB10	16	2009157
cg00041575	0.105289115111078	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0143504599309847	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0162308187328439	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0328658512495084	CUL5	11	107879431
cg00047469	0.0135684406517621	POLE3;C9orf43	9	116172568
cg00049986	0.172599722148655	NA	NA	0
cg00050312	0.0159390722009405	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0231178612925516	C10orf4	10	95462161
cg00053292	0.0233804025470026	TACO1	17	61678300
cg00053647	0.0438783895669357	C7orf28B	7	6866072
cg00054706	0.0155855263917684	C1D	2	68289972
cg00055233	0.235190851254831	RLN1	9	5339677
cg00056767	0.0256967689787598	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.232455733264365	GLRA1	5	151304357
cg00059424	0.0217623285108806	PES1	22	30988148
cg00059740	0.00895937579376226	C7orf49	7	134855689
cg00059930	0.604567499865479	RB1	13	48894382
cg00060762	0.0240934338860248	LEO1	15	52264133
cg00060882	0.219169567518465	EIF2S3	X	24072811
cg00061059	0.0302130313941651	TECR	19	14640983
cg00061629	0.656075488647593	ALX4	11	44325258
cg00062776	0.374553959815255	TULP2	19	49402424
cg00063144	0.616307594999945	KRT31	17	39554055
cg00065385	0.357992231817119	ACTL7A	9	111623395
cg00065408	0.0251254623010259	CACNB3	12	49212475
cg00066153	0.952472833342744	ACRV1	11	125550744
cg00066816	0.0595607538220661	IL12B	5	158758353
cg00067471	0.0240623262780409	ATP5D	19	1241377
cg00069261	0.020398646961955	CDR2	16	22386531
cg00071250	0.251278402924834	FASLG	1	172628263
cg00071998	0.0257522925458506	MSH5	6	31708121
cg00072216	0.0104979596575077	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.272552085411955	STRA6	15	74495354
cg00076645	0.0218252757628018	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.805609339666241	ASAP1	8	131414474
cg00078194	0.0122570372006084	MDK	11	46402949
cg00078867	0.818587952145985	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0090449523789431	ARFGAP3	22	43253521
cg00080012	0.0113331743957352	EED	11	85955689
cg00081935	0.0256419230567571	TSPAN9	12	3186906
cg00081975	0.0264933781313011	ABCC3	17	48712370
cg00083720	0.0126144264354282	NA	NA	0
cg00083937	0.206513572222487	MAPK8IP2	22	51039805
cg00084687	0.0107164067067975	GATAD1	7	92076896
cg00089071	0.0115177854943822	PCGF2	17	36905809
cg00090147	0.309979804514824	GATA4	8	11562367
cg00091693	0.22728242789671	KRT20	17	39041602
cg00093177	0.560001568561586		17	37185495
cg00094319	0.565444113478286	PABPC3	13	25670530
cg00094851	0.0794177157340702	KIF3C	2	26205706
cg00095526	0.269744469986747	CACNA1S	1	201081686
cg00095674	0.0448702902800805	PLEKHO1	1	150122654
cg00096922	0.0167805170910846	DLX5	7	96654185
cg00097536	0.0140125514355023	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0133929897132312	PNPLA6	19	7599173
cg00099550	0.0219121360012434	NA	NA	0
cg00101227	0.786919846548455	MPZ	1	161280266
cg00103783	0.0178271003476334	MPDU1	17	7487249
cg00105253	0.0398046250825142	NUDT14	14	105647194
cg00105470	0.0178272478608844	C1orf35	1	228290868
cg00107187	0.0908826303335311	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.00854054606113343	PGM2	4	37828500
cg00108454	0.138497365786166	C1QA	1	22963614
cg00109274	0.00667807834370802	DGKH	13	42623032
cg00112517	0.0578019730882154	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0757344972510846	CABP1	12	121078090
cg00115714	0.0447340495988506	AMD1	6	111196112
cg00116234	0.0401465538434973	ADAMTSL1	9	18474243
cg00116838	0.0305184091144746	RTN2;FLJ40125	19	46001746
cg00117172	0.0907596057084605	RUNX3	1	25255838
cg00119079	0.0132486247585506	LAMP3	3	182880278
cg00121158	0.0135989092149396	KDM4C	9	6757826
cg00121640	0.0463033159527886	ASTN2	9	120176515
cg00121904	0.0523615155307319	MAOB	X	43741826
cg00123035	0.0203093923107406	RFX5	1	151319538
cg00126034	0.0266500663070326	WNT3	17	44896162
cg00126657	0.0923449676437188	SSX6	X	47967250
cg00126698	0.508094516026245	BTK	X	100640503
cg00128197	0.13583267343874	HSD17B10	X	53461455
cg00128560	0.950331764219974	TIGD7	16	3352013
cg00128654	0.0186921299730363	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0594221707566925	MKNK1	1	47070178
cg00129774	0.0197639663758176	CDK2;SILV	12	56360414
cg00131121	0.0276769570635358	POLR2J	7	102119710
cg00131557	0.487099668134202	DNAJC15	13	43596656
cg00132141	0.0971540151788051	CTNNA3	10	69456307
cg00133909	0.0368635494023844	CD276	15	73977201
cg00134539	0.253859436041809	UBASH3A	21	43824071
cg00134787	0.146054500279474	MYH1	17	10419499
cg00135056	0.0641664197092143	C3orf37	3	128997295
cg00135393	0.626187974943021	NA	NA	0
cg00136105	0.0126550013142117	GNPTAB	12	102224911
cg00136405	0.607120588556225	IL21	4	123542198
cg00136477	0.337392385479553	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.246489425858371	PMEPA1	20	56286697
cg00141162	0.519197352383376	HCLS1	3	121379777
cg00141550	0.869516610742114	NA	NA	0
cg00141845	0.093648413757165	UPRT	X	74493352
cg00143376	0.248221237834012	NMUR1	2	232394702
cg00143998	0.0215437703350656	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.0788603852000129	GNPDA1	5	141393931
cg00145348	0.251830072663584	APEX2	X	55026862
cg00146096	0.0110387564479368	FANCF	11	22647309
cg00149659	0.0167945835585385	C3orf10	3	10157352
cg00149976	0.0137951728439845	MGLL	3	127541529
cg00151234	0.164849258092267	PGK1	X	77359363
cg00151607	0.0116086460057576	TRAPPC2L;GALNS	16	88923507
cg00152644	0.437483042089602	SPRR2E	1	153068236
cg00155167	0.021055304186259	VPS13B	8	100025831
cg00155485	0.0220254009414475	MED13L	12	116714600
cg00155609	0.0133323007662832	PRDX2	19	12912527
cg00156216	0.0217431848843501	APLP2	11	129939849
cg00156744	0.0179667271379123	STK10	5	171615663
cg00158308	0.225626713257535	OXGR1	13	97646341
cg00160914	0.0510525961310561	DDX20;C1orf183	1	112299263
cg00162401	0.0166017680840259	GSTA4	6	52859823
cg00162643	0.0300469311382595	DDX58	9	32526492
cg00164041	0.0242209624437567	NA	NA	0
cg00164898	0.0150060549249975	MAPK11	22	50709127
cg00165981	0.0410803883652201	COL4A3BP;POLK	5	74808039
cg00167504	0.0236352200531506	BLVRA	7	43798622
cg00168082	0.0373341917911397	ABL1	9	133589177
cg00168785	0.0369067590458731	WDSUB1	2	160142643
cg00168942	0.323348228908844	GJD4	10	35894430
cg00169548	0.150565142598443	NA	NA	0
cg00171126	0.0287455453506747	WRB	21	40752522
cg00171161	0.0502204218439351	NUDT9	4	88343636
cg00174500	0.188943981774718	CMTM5	14	23846479
cg00174901	0.0838591938022889	PALM	19	709889
cg00176210	0.344325189474073	ANK1	8	41654967
cg00176879	0.99341165311522	VPS16;PTPRA	20	2843525
cg00177013	0.0429791133172016	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0205294260754851	PNPO	17	46018875
cg00177923	0.0130516764415091	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.112433645639366	UPF3B	X	118986947
cg00180012	0.0200833933090286	LACE1	6	108615929
cg00180631	0.201649004808599	MTM1	X	149736640
cg00182461	0.0324735119862483	NA	NA	0
cg00183782	0.807230575153952	NA	NA	0
cg00183916	0.0130128389212018	HS3ST3B1	17	14204936
cg00184884	0.0101481066521175	SFI1	22	31892343
cg00184893	0.0126002510658124	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0210147671036854	LRDD	11	804954
cg00186141	0.0136739289360042	PODXL	7	131241768
cg00186701	0.0407625213321171	TSPYL5	8	98290510
cg00186954	0.331332271679164	ST5;C11orf17	11	8933980
cg00187380	0.10177843361316	HOXC4;HOXC5	12	54427384
cg00187686	0.0910362599767821	TCN1	11	59634218
cg00188348	0.532125462782695	NA	NA	0
cg00191052	0.113664720766361	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.014467040298335	FAM53C	5	137673669
cg00197641	0.0173591922377556	MRPL52	14	23299461
cg00199549	0.259880796899395	MCM5	22	35795374
cg00200063	0.0142285390971741	USP32	17	58469941
cg00201234	0.0130595422843628	FBLN2	3	13590968
cg00202702	0.013704190794243	C11orf70	11	101918157
cg00202711	0.788178799703171	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0198118572803382	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0222334252150961	KIAA0174	16	71929512
cg00208830	0.159698946678237	LAMC2	1	183154778
cg00208967	0.0351456511230343	OLFM2	19	10047924
cg00209066	0.884519455862352	BRD1	22	50218923
cg00209951	0.052898684450494	DENND2C	1	115212834
cg00210842	0.0321417213002948	APAF1;IKBIP	12	99039578
cg00211661	0.0324377733473099	ARAP1	11	72433619
cg00212549	0.0371325599264297	NA	NA	0
cg00213044	0.531145965979403	KRT6A	12	52886438
cg00213331	0.934612320974062	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.013884304082026	NA	NA	0
cg00214794	0.205943103031755	NA	NA	0
cg00214855	0.100474583602676	CCDC90A	6	13813947
cg00215066	0.965190171154342	MYO9B	19	17212316
cg00216361	0.0396459555693782	GAP43	3	115342527
cg00216758	0.0262876570812437	RASSF7;C11orf35	11	560589
cg00217795	0.28216562390283	DIO2	14	80677688
cg00221494	0.0830487376619237	FARP1	13	98794593
cg00223186	0.0185858403368464	ACBD6	1	180472200
cg00223950	0.0347581456519438	UBR4	1	19536222
cg00224234	0.00855687928568663	GLOD4;RNMTL1	17	685693
cg00224508	0.0138974525604144	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.364142870020515	FGD2	6	36972027
cg00228799	0.0182433753712459	ENDOG	9	131580591
cg00229387	0.0382063319108395	TJAP1	6	43445942
cg00230271	0.0273260907921577	TBCK;AIMP1	4	107237183
cg00230368	0.0155510999833789	IGF2R	6	160389833
cg00230502	0.0306038534311099	CCDC60	12	119772381
cg00230685	0.247297500019352	SCML1	X	17755839
cg00231140	0.0200694873778479	ACAA2;SCARNA17	18	47339702
cg00231644	0.141977964786856	TUBB2A	6	3158512
cg00231920	0.0172582487147456	VPS16;FAM113A	20	2821308
cg00233307	0.0161776765146222	MAP4K1;EIF3K	19	39109076
cg00234616	0.0593724869587179	TLX2	2	74740572
