Hybridization REF	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.479331274760037	ATP2A1	16	28890100
cg00002426	0.356274173652788	SLMAP	3	57743543
cg00003994	0.0536423892799624	MEOX2	7	15725862
cg00005847	0.783337982277683	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0254254927134655	PANX1	11	93862594
cg00008493	0.990099453481169	COX8C;KIAA1409	14	93813777
cg00008713	0.011657328916566	IMPA2	18	11980953
cg00009407	0.010303657076475	TTC8	14	89290921
cg00010193	0.562084790929876	NA	NA	0
cg00011459	0.942213850616089	TMEM186;PMM2	16	8890425
cg00012199	0.0103964250978648	ANG;RNASE4	14	21151024
cg00012386	0.025112975130409	JMJD4;SNAP47	1	227922512
cg00012792	0.0622678917744386	MUTED	6	8064493
cg00013618	0.82714409201526		22	22380839
cg00014085	0.0120185734791028	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.102922414298857	QRFPR	4	122302007
cg00016968	0.618271961436054	RHOC	1	113250448
cg00019495	0.271154070539803	HOPX	4	57547525
cg00020533	0.942039151626762	TULP1	6	35480916
cg00021527	0.0419444722010572	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.512344210273756	CCDC88B	11	64108440
cg00024396	0.0220772690161506	ELOVL5	6	53214008
cg00024812	0.0162952603135592	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0118448708885984	MAP3K9	14	71275917
cg00025991	0.467386113866701	DIP2C	10	736625
cg00027083	0.0189172329481105	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0483827664656851	CCNB1IP1	14	20801459
cg00029931	0.291030753369434	RPL36A	X	100645741
cg00030047	0.240384570483918	RNF207	1	6268790
cg00031162	0.313922164778583	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00914172134709169	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0300363890330032	FLJ13197;KLF3	4	38666773
cg00033773	0.822166140765457	MORG1;C19orf56	19	12779366
cg00034039	0.177395068701158	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0394729431669822	UBE2S	19	55919836
cg00037763	0.943365942000013	SETBP1	18	42281763
cg00037940	0.937852863169091	PIK3CB	3	138479285
cg00040861	0.0171939304809271	LSM7;SPPL2B	19	2328391
cg00040873	0.106077948571241	NDUFB10	16	2009157
cg00041575	0.707724431474391	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0399696588922568	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.043079120841495	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0278868560689002	CUL5	11	107879431
cg00047469	0.0372782665545977	POLE3;C9orf43	9	116172568
cg00049986	0.135839024129148	NA	NA	0
cg00050312	0.0143721241242059	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0308014289575625	C10orf4	10	95462161
cg00053292	0.0157696161169602	TACO1	17	61678300
cg00053647	0.091301700044617	C7orf28B	7	6866072
cg00054706	0.0174128557913784	C1D	2	68289972
cg00055233	0.403377155463352	RLN1	9	5339677
cg00056767	0.0173738180977839	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.2640443321951	GLRA1	5	151304357
cg00059424	0.0317399272766666	PES1	22	30988148
cg00059740	0.00935422222933825	C7orf49	7	134855689
cg00059930	0.730450183580094	RB1	13	48894382
cg00060762	0.0249440945431524	LEO1	15	52264133
cg00060882	0.103235365011607	EIF2S3	X	24072811
cg00061059	0.041823918255402	TECR	19	14640983
cg00061629	0.699117521022843	ALX4	11	44325258
cg00062776	0.920794947109739	TULP2	19	49402424
cg00063144	0.92394419902962	KRT31	17	39554055
cg00065385	0.954371773946575	ACTL7A	9	111623395
cg00065408	0.0299344035375785	CACNB3	12	49212475
cg00066153	0.953554292701405	ACRV1	11	125550744
cg00066816	0.246458457382023	IL12B	5	158758353
cg00067471	0.102788924830947	ATP5D	19	1241377
cg00069261	0.073841984259167	CDR2	16	22386531
cg00071250	0.625414804308124	FASLG	1	172628263
cg00071998	0.0285212338071695	MSH5	6	31708121
cg00072216	0.0117461948771744	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.782607552637819	STRA6	15	74495354
cg00076645	0.017650372462667	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.736224499784903	ASAP1	8	131414474
cg00078194	0.0133562864713771	MDK	11	46402949
cg00078867	0.720768783992113	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.00816558681691569	ARFGAP3	22	43253521
cg00080012	0.0111639945508243	EED	11	85955689
cg00081935	0.0233993840895812	TSPAN9	12	3186906
cg00081975	0.0145977586063701	ABCC3	17	48712370
cg00083720	0.0121013275110553	NA	NA	0
cg00083937	0.482487913732067	MAPK8IP2	22	51039805
cg00084687	0.00970709769442073	GATAD1	7	92076896
cg00089071	0.0174117155986075	PCGF2	17	36905809
cg00090147	0.0521381567474411	GATA4	8	11562367
cg00091693	0.80875736249409	KRT20	17	39041602
cg00093177	0.89934245077034		17	37185495
