Hybridization REF	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.843723864647697	ATP2A1	16	28890100
cg00002426	0.701963807743721	SLMAP	3	57743543
cg00003994	0.109478024359925	MEOX2	7	15725862
cg00005847	0.290287247500249	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0513477753431369	PANX1	11	93862594
cg00008493	0.986713675859702	COX8C;KIAA1409	14	93813777
cg00008713	0.0122549557479661	IMPA2	18	11980953
cg00009407	0.0127917896808171	TTC8	14	89290921
cg00010193	0.559326059312159	NA	NA	0
cg00011459	0.938340126321009	TMEM186;PMM2	16	8890425
cg00012199	0.0156565986801317	ANG;RNASE4	14	21151024
cg00012386	0.0167895884573864	JMJD4;SNAP47	1	227922512
cg00012792	0.0619012825874568	MUTED	6	8064493
cg00013618	0.731182371884221		22	22380839
cg00014085	0.0186051562637119	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.163921170799531	QRFPR	4	122302007
cg00016968	0.756974351771241	RHOC	1	113250448
cg00019495	0.214524112792887	HOPX	4	57547525
cg00020533	0.91908957655312	TULP1	6	35480916
cg00021527	0.0633256106151216	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.61275884759594	CCDC88B	11	64108440
cg00024396	0.0477965578071144	ELOVL5	6	53214008
cg00024812	0.0381701443150615	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0154929754677218	MAP3K9	14	71275917
cg00025991	0.494868529828642	DIP2C	10	736625
cg00027083	0.235295682879866	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0667281679371482	CCNB1IP1	14	20801459
cg00029931	0.281032795427141	RPL36A	X	100645741
cg00030047	0.325893843383681	RNF207	1	6268790
cg00031162	0.595033893384529	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0132308978750085	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0559429860707677	FLJ13197;KLF3	4	38666773
cg00033773	0.902730877660432	MORG1;C19orf56	19	12779366
cg00034039	0.142664651539481	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.101123560732379	UBE2S	19	55919836
cg00037763	0.933141228885921	SETBP1	18	42281763
cg00037940	0.915763694907339	PIK3CB	3	138479285
cg00040861	0.0283751514479707	LSM7;SPPL2B	19	2328391
cg00040873	0.136649295269181	NDUFB10	16	2009157
cg00041575	0.28306085101931	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.050794664047977	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.068555810268325	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0456478863596848	CUL5	11	107879431
cg00047469	0.0278304999362299	POLE3;C9orf43	9	116172568
cg00049986	0.216924331701567	NA	NA	0
cg00050312	0.0131185819723096	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0538911533669464	C10orf4	10	95462161
cg00053292	0.0314048917055967	TACO1	17	61678300
cg00053647	0.0667091592770649	C7orf28B	7	6866072
cg00054706	0.019949842746029	C1D	2	68289972
cg00055233	0.244396105293976	RLN1	9	5339677
cg00056767	0.0178205158672469	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.416559722939575	GLRA1	5	151304357
cg00059424	0.0467260302366051	PES1	22	30988148
cg00059740	0.0129347166035301	C7orf49	7	134855689
cg00059930	0.709749098739596	RB1	13	48894382
cg00060762	0.0226458538896464	LEO1	15	52264133
cg00060882	0.125325038581437	EIF2S3	X	24072811
cg00061059	0.0494771565430774	TECR	19	14640983
cg00061629	0.341894254627219	ALX4	11	44325258
cg00062776	0.985052937622574	TULP2	19	49402424
cg00063144	0.927848210942077	KRT31	17	39554055
cg00065385	0.953805291275852	ACTL7A	9	111623395
cg00065408	0.0225585718351788	CACNB3	12	49212475
cg00066153	0.935910631295962	ACRV1	11	125550744
cg00066816	0.235089745878772	IL12B	5	158758353
cg00067471	0.0919440866627921	ATP5D	19	1241377
cg00069261	0.0414069763815229	CDR2	16	22386531
cg00071250	0.325228080263807	FASLG	1	172628263
cg00071998	0.0166122059222913	MSH5	6	31708121
cg00072216	0.0190214381877344	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.638678083775758	STRA6	15	74495354
cg00076645	0.0211732613749319	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.625928296573576	ASAP1	8	131414474
cg00078194	0.0163982024346276	MDK	11	46402949
cg00078867	0.496877402754789	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.013875458675287	ARFGAP3	22	43253521
cg00080012	0.0114163179279894	EED	11	85955689
cg00081935	0.0301645094417127	TSPAN9	12	3186906
cg00081975	0.0722115555236297	ABCC3	17	48712370
cg00083720	0.0231548164540511	NA	NA	0
cg00083937	0.641588946624127	MAPK8IP2	22	51039805
cg00084687	0.0167371534895457	GATAD1	7	92076896
cg00089071	0.016795096316804	PCGF2	17	36905809
cg00090147	0.141907736742447	GATA4	8	11562367
cg00091693	0.608174049902555	KRT20	17	39041602
cg00093177	0.904954610219361		17	37185495
cg00094319	0.807176230979026	PABPC3	13	25670530
cg00094851	0.0488852429848159	KIF3C	2	26205706
cg00095526	0.774524172394061	CACNA1S	1	201081686
cg00095674	0.0655826324335081	PLEKHO1	1	150122654
cg00096922	0.0664105681461589	DLX5	7	96654185
cg00097536	0.0105540274820056	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0128574892807038	PNPLA6	19	7599173
cg00099550	0.0440999236706071	NA	NA	0
