Hybridization REF	TCGA-AN-A049-01A-21D-A00Y-05	TCGA-AN-A049-01A-21D-A00Y-05	TCGA-AN-A049-01A-21D-A00Y-05	TCGA-AN-A049-01A-21D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.589984044499883	ATP2A1	16	28890100
cg00002426	0.194029537338804	SLMAP	3	57743543
cg00003994	0.237687359036214	MEOX2	7	15725862
cg00005847	0.630187288233249	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0341246721686363	PANX1	11	93862594
cg00008493	0.985651829000923	COX8C;KIAA1409	14	93813777
cg00008713	0.013483088300605	IMPA2	18	11980953
cg00009407	0.00995735631148457	TTC8	14	89290921
cg00010193	0.637511340513025	NA	NA	0
cg00011459	0.927435041644071	TMEM186;PMM2	16	8890425
cg00012199	0.0168909834573056	ANG;RNASE4	14	21151024
cg00012386	0.0186612478375173	JMJD4;SNAP47	1	227922512
cg00012792	0.0176878247976689	MUTED	6	8064493
cg00013618	0.80145751339845		22	22380839
cg00014085	0.0172192567860147	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.146905736353921	QRFPR	4	122302007
cg00016968	0.394720210506068	RHOC	1	113250448
cg00019495	0.26415046105088	HOPX	4	57547525
cg00020533	0.930251846259006	TULP1	6	35480916
cg00021527	0.0252084360154197	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.767635518564325	CCDC88B	11	64108440
cg00024396	0.0326389979458864	ELOVL5	6	53214008
cg00024812	0.028853268964352	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0148287131568671	MAP3K9	14	71275917
cg00025991	0.527330399754258	DIP2C	10	736625
cg00027083	0.479152572618338	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0791634083379389	CCNB1IP1	14	20801459
cg00029931	0.388040451496338	RPL36A	X	100645741
cg00030047	0.390184376400729	RNF207	1	6268790
cg00031162	0.60648194902917	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0100546927870824	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0451866632334041	FLJ13197;KLF3	4	38666773
cg00033773	0.703383559523711	MORG1;C19orf56	19	12779366
cg00034039	0.0459348187462282	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0600607320486386	UBE2S	19	55919836
cg00037763	0.896861007420404	SETBP1	18	42281763
cg00037940	0.908870365691613	PIK3CB	3	138479285
cg00040861	0.0148605299926877	LSM7;SPPL2B	19	2328391
cg00040873	0.0622618870996899	NDUFB10	16	2009157
cg00041575	0.417889681643886	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0174699065179989	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0197307384807685	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0338079565880002	CUL5	11	107879431
cg00047469	0.015621156320107	POLE3;C9orf43	9	116172568
cg00049986	0.070087316667464	NA	NA	0
cg00050312	0.0143335774287913	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0349006623800876	C10orf4	10	95462161
cg00053292	0.0267409258443295	TACO1	17	61678300
cg00053647	0.0306082957979966	C7orf28B	7	6866072
cg00054706	0.0222363637705625	C1D	2	68289972
cg00055233	0.320927415639285	RLN1	9	5339677
cg00056767	0.0176270886084754	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.234503260973068	GLRA1	5	151304357
cg00059424	0.0230222819670591	PES1	22	30988148
cg00059740	0.013934367845307	C7orf49	7	134855689
cg00059930	0.773607025260786	RB1	13	48894382
cg00060762	0.0195617279826256	LEO1	15	52264133
cg00060882	0.0545650105995077	EIF2S3	X	24072811
cg00061059	0.038162600182666	TECR	19	14640983
cg00061629	0.89884649536535	ALX4	11	44325258
cg00062776	0.987282415765489	TULP2	19	49402424
cg00063144	0.923008088858555	KRT31	17	39554055
cg00065385	0.975019452396992	ACTL7A	9	111623395
cg00065408	0.019935189029784	CACNB3	12	49212475
cg00066153	0.873773000955034	ACRV1	11	125550744
cg00066816	0.0774670047817945	IL12B	5	158758353
cg00067471	0.19776631849363	ATP5D	19	1241377
cg00069261	0.021395927238547	CDR2	16	22386531
cg00071250	0.704642583087737	FASLG	1	172628263
cg00071998	0.0165789364700256	MSH5	6	31708121
cg00072216	0.0139167954346485	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.254372101085905	STRA6	15	74495354
cg00076645	0.015040901232532	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.8554794383103	ASAP1	8	131414474
cg00078194	0.0114051201219804	MDK	11	46402949
cg00078867	0.490225166137202	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0169214470948677	ARFGAP3	22	43253521
cg00080012	0.00972749016376604	EED	11	85955689
cg00081935	0.0191559940241128	TSPAN9	12	3186906
cg00081975	0.0162145578269547	ABCC3	17	48712370
cg00083720	0.0140304353583646	NA	NA	0
cg00083937	0.416472085941596	MAPK8IP2	22	51039805
cg00084687	0.0149609758000378	GATAD1	7	92076896
cg00089071	0.00984335292670667	PCGF2	17	36905809
cg00090147	0.407934034004746	GATA4	8	11562367
cg00091693	0.477036882724516	KRT20	17	39041602
cg00093177	0.900321673364275		17	37185495
cg00094319	0.814606012301625	PABPC3	13	25670530
cg00094851	0.0753374961432027	KIF3C	2	26205706
cg00095526	0.829260481820642	CACNA1S	1	201081686
cg00095674	0.0321077306243159	PLEKHO1	1	150122654
cg00096922	0.0320371979733647	DLX5	7	96654185
cg00097536	0.0127783814382989	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
