Hybridization REF	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.578831070340552	ATP2A1	16	28890100
cg00002426	0.0639729286558306	SLMAP	3	57743543
cg00003994	0.648100105470638	MEOX2	7	15725862
cg00005847	0.824710759497669	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0435814480970074	PANX1	11	93862594
cg00008493	0.990633925750554	COX8C;KIAA1409	14	93813777
cg00008713	0.0213767421680151	IMPA2	18	11980953
cg00009407	0.0100035767399732	TTC8	14	89290921
cg00010193	0.549071673642449	NA	NA	0
cg00011459	0.922206021616307	TMEM186;PMM2	16	8890425
cg00012199	0.0104220242653576	ANG;RNASE4	14	21151024
cg00012386	0.0272831330550739	JMJD4;SNAP47	1	227922512
cg00012792	0.0146863130786279	MUTED	6	8064493
cg00013618	0.912452907684519		22	22380839
cg00014085	0.0107122268950449	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.76420977047613	QRFPR	4	122302007
cg00016968	0.526998017583957	RHOC	1	113250448
cg00019495	0.0641038096270273	HOPX	4	57547525
cg00020533	0.915160819931084	TULP1	6	35480916
cg00021527	0.0239353686949864	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.815417089135201	CCDC88B	11	64108440
cg00024396	0.033341779111644	ELOVL5	6	53214008
cg00024812	0.0211051100107354	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0101385313919492	MAP3K9	14	71275917
cg00025991	0.647366964185534	DIP2C	10	736625
cg00027083	0.700037971760976	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0452691585727427	CCNB1IP1	14	20801459
cg00029931	0.216243963297477	RPL36A	X	100645741
cg00030047	0.801839615508537	RNF207	1	6268790
cg00031162	0.858866378169606	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00632633029979646	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0351643781144641	FLJ13197;KLF3	4	38666773
cg00033773	0.883343951183337	MORG1;C19orf56	19	12779366
cg00034039	0.0959298708216789	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0177119233689404	UBE2S	19	55919836
cg00037763	0.940379416190587	SETBP1	18	42281763
cg00037940	0.950115074264109	PIK3CB	3	138479285
cg00040861	0.0155097938643066	LSM7;SPPL2B	19	2328391
cg00040873	0.657910938161464	NDUFB10	16	2009157
cg00041575	0.795272979671735	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.624254037694188	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0229393586308882	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0340452529162936	CUL5	11	107879431
cg00047469	0.04705499567627	POLE3;C9orf43	9	116172568
cg00049986	0.0729082461452696	NA	NA	0
cg00050312	0.0230178472928218	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0336342556829611	C10orf4	10	95462161
cg00053292	0.0165458471189698	TACO1	17	61678300
cg00053647	0.0496842155018871	C7orf28B	7	6866072
cg00054706	0.0239952543856958	C1D	2	68289972
cg00055233	0.12884254370753	RLN1	9	5339677
cg00056767	0.0135848853728844	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.729138935597592	GLRA1	5	151304357
cg00059424	0.0307143278135237	PES1	22	30988148
cg00059740	0.0109682765005365	C7orf49	7	134855689
cg00059930	0.910810454683097	RB1	13	48894382
cg00060762	0.0169179752094431	LEO1	15	52264133
cg00060882	0.541822691472217	EIF2S3	X	24072811
cg00061059	0.0446466266896008	TECR	19	14640983
cg00061629	0.943669330988597	ALX4	11	44325258
cg00062776	0.992271474097348	TULP2	19	49402424
cg00063144	0.939596450433002	KRT31	17	39554055
