Hybridization REF	TCGA-E2-A14O-01A-31D-A112-05	TCGA-E2-A14O-01A-31D-A112-05	TCGA-E2-A14O-01A-31D-A112-05	TCGA-E2-A14O-01A-31D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.860021907357692	ATP2A1	16	28890100
cg00002426	0.0565480344040655	SLMAP	3	57743543
cg00003994	0.0890371849493719	MEOX2	7	15725862
cg00005847	0.730701038147289	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0604656800375572	PANX1	11	93862594
cg00008493	0.988394079191775	COX8C;KIAA1409	14	93813777
cg00008713	0.0115441371107052	IMPA2	18	11980953
cg00009407	0.0105574448221488	TTC8	14	89290921
cg00010193	0.551848471769972	NA	NA	0
cg00011459	0.952583876061319	TMEM186;PMM2	16	8890425
cg00012199	0.0131243688006677	ANG;RNASE4	14	21151024
cg00012386	0.0281834278987328	JMJD4;SNAP47	1	227922512
cg00012792	0.0271677894525568	MUTED	6	8064493
cg00013618	0.507225093623658		22	22380839
cg00014085	0.0101719613461546	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.078413821730873	QRFPR	4	122302007
cg00016968	0.308912231509861	RHOC	1	113250448
cg00019495	0.102348667196956	HOPX	4	57547525
cg00020533	0.804449967203114	TULP1	6	35480916
cg00021527	0.0781491793652709	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.788650268536688	CCDC88B	11	64108440
cg00024396	0.021145669055448	ELOVL5	6	53214008
cg00024812	0.0234375569323987	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0100006466284003	MAP3K9	14	71275917
cg00025991	0.595280858532604	DIP2C	10	736625
cg00027083	0.721409469914776	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0598124244922263	CCNB1IP1	14	20801459
cg00029931	0.148082712203909	RPL36A	X	100645741
cg00030047	0.655175604798024	RNF207	1	6268790
cg00031162	0.565414483784079	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00697091876974934	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0505379680649343	FLJ13197;KLF3	4	38666773
cg00033773	0.929774186321875	MORG1;C19orf56	19	12779366
cg00034039	0.128192099867033	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0393107387259775	UBE2S	19	55919836
cg00037763	0.946863117809701	SETBP1	18	42281763
cg00037940	0.920168690313431	PIK3CB	3	138479285
cg00040861	0.0144089663304422	LSM7;SPPL2B	19	2328391
cg00040873	0.0558858184940489	NDUFB10	16	2009157
cg00041575	0.207903190736847	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.193093290745967	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.272386845680721	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0390546615667221	CUL5	11	107879431
cg00047469	0.0801679750878884	POLE3;C9orf43	9	116172568
cg00049986	0.121244093247487	NA	NA	0
cg00050312	0.828760153417596	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0352363800118301	C10orf4	10	95462161
cg00053292	0.015553786389396	TACO1	17	61678300
cg00053647	0.0572093720004011	C7orf28B	7	6866072
cg00054706	0.0190240343230282	C1D	2	68289972
cg00055233	0.213097802416569	RLN1	9	5339677
cg00056767	0.0140110764383327	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.516722520124052	GLRA1	5	151304357
cg00059424	0.0292074986765342	PES1	22	30988148
cg00059740	0.0101874170739286	C7orf49	7	134855689
cg00059930	0.879127597097733	RB1	13	48894382
cg00060762	0.028936606626055	LEO1	15	52264133
cg00060882	0.116840781878877	EIF2S3	X	24072811
cg00061059	0.0564323968002039	TECR	19	14640983
cg00061629	0.450078113669844	ALX4	11	44325258
cg00062776	0.989581369776994	TULP2	19	49402424
cg00063144	0.919019450358614	KRT31	17	39554055
cg00065385	0.966115164556401	ACTL7A	9	111623395
cg00065408	0.0264554530349675	CACNB3	12	49212475
cg00066153	0.904106132349658	ACRV1	11	125550744
cg00066816	0.211994593147505	IL12B	5	158758353
cg00067471	0.0230332266418645	ATP5D	19	1241377
cg00069261	0.109779300234108	CDR2	16	22386531
cg00071250	0.739557421276824	FASLG	1	172628263
cg00071998	0.0139476028825677	MSH5	6	31708121
cg00072216	0.0113924817758485	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.265981671734118	STRA6	15	74495354
cg00076645	0.0160251631727832	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.717529740723927	ASAP1	8	131414474
cg00078194	0.0124956833997363	MDK	11	46402949
cg00078867	0.287321310771646	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0804206066749219	ARFGAP3	22	43253521
cg00080012	0.0123044122917641	EED	11	85955689
cg00081935	0.0250033247146757	TSPAN9	12	3186906
cg00081975	0.0126117676332013	ABCC3	17	48712370
cg00083720	0.0106793288028916	NA	NA	0
cg00083937	0.378126320005703	MAPK8IP2	22	51039805
cg00084687	0.00801560039524861	GATAD1	7	92076896
cg00089071	0.0253689317098445	PCGF2	17	36905809
cg00090147	0.313270963772442	GATA4	8	11562367
cg00091693	0.210653286895361	KRT20	17	39041602
cg00093177	0.827944350390571		17	37185495
cg00094319	0.670732366454507	PABPC3	13	25670530
cg00094851	0.0503629066573684	KIF3C	2	26205706
cg00095526	0.516909717629919	CACNA1S	1	201081686
cg00095674	0.1053861005389	PLEKHO1	1	150122654
cg00096922	0.284379325243467	DLX5	7	96654185
cg00097536	0.00828415602314059	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.010751671926553	PNPLA6	19	7599173
cg00099550	0.0201421651482758	NA	NA	0
cg00101227	0.668577953606034	MPZ	1	161280266
cg00103783	0.0118962857919969	MPDU1	17	7487249
cg00105253	0.014405492086927	NUDT14	14	105647194
cg00105470	0.0113462832161932	C1orf35	1	228290868
cg00107187	0.573886174485008	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0128740460948266	PGM2	4	37828500
cg00108454	0.148305290132558	C1QA	1	22963614
cg00109274	0.0735034508311612	DGKH	13	42623032
cg00112517	0.0822222648106263	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.408314052913921	CABP1	12	121078090
cg00115714	0.290236111238816	AMD1	6	111196112
cg00116234	0.342597627873889	ADAMTSL1	9	18474243
cg00116838	0.371763986623942	RTN2;FLJ40125	19	46001746
cg00117172	0.781340440450218	RUNX3	1	25255838
cg00119079	0.505863069728045	LAMP3	3	182880278
cg00121158	0.0100321294637558	KDM4C	9	6757826
cg00121640	0.0477098358086592	ASTN2	9	120176515
cg00121904	0.0668533640928912	MAOB	X	43741826
cg00123035	0.033242511479661	RFX5	1	151319538
cg00126034	0.0279768757681393	WNT3	17	44896162
cg00126657	0.138838970334168	SSX6	X	47967250
cg00126698	0.355852675500866	BTK	X	100640503
cg00128197	0.423347103167761	HSD17B10	X	53461455
cg00128560	0.981093136737224	TIGD7	16	3352013
cg00128654	0.393746682669285	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0497742677859369	MKNK1	1	47070178
cg00129774	0.0125801424205586	CDK2;SILV	12	56360414
cg00131121	0.0238226131926255	POLR2J	7	102119710
cg00131557	0.912682538644139	DNAJC15	13	43596656
cg00132141	0.353937216464003	CTNNA3	10	69456307
cg00133909	0.0465073315929927	CD276	15	73977201
cg00134539	0.900695082363448	UBASH3A	21	43824071
cg00134787	0.195693942113216	MYH1	17	10419499
cg00135056	0.120455734794745	C3orf37	3	128997295
cg00135393	0.193806635678863	NA	NA	0
cg00136105	0.0128668847526064	GNPTAB	12	102224911
cg00136405	0.139752815136026	IL21	4	123542198
cg00136477	0.818829752635774	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.596438775908462	PMEPA1	20	56286697
cg00141162	0.768483864780874	HCLS1	3	121379777
cg00141550	0.431629113312124	NA	NA	0
cg00141845	0.0545892472309904	UPRT	X	74493352
cg00143376	0.653841574188979	NMUR1	2	232394702
cg00143998	0.260567193076808	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.134830372350443	GNPDA1	5	141393931
cg00145348	0.278276812182011	APEX2	X	55026862
cg00146096	0.0113130992017683	FANCF	11	22647309
cg00149659	0.0133283190146751	C3orf10	3	10157352
cg00149976	0.0513445418110079	MGLL	3	127541529
cg00151234	0.0821957088744313	PGK1	X	77359363
cg00151607	0.0178860153068203	TRAPPC2L;GALNS	16	88923507
cg00152644	0.125413703503142	SPRR2E	1	153068236
cg00155167	0.018562232545055	VPS13B	8	100025831
cg00155485	0.0342311673798471	MED13L	12	116714600
cg00155609	0.0284463101964251	PRDX2	19	12912527
cg00156216	0.025159729601793	APLP2	11	129939849
cg00156744	0.0756545093574771	STK10	5	171615663
cg00158308	0.0557834416351532	OXGR1	13	97646341
cg00160914	0.0659909722009644	DDX20;C1orf183	1	112299263
cg00162401	0.0146220759151943	GSTA4	6	52859823
cg00162643	0.028876139751078	DDX58	9	32526492
cg00164041	0.270633487511107	NA	NA	0
cg00164898	0.0512882918102864	MAPK11	22	50709127
cg00165981	0.0318928642861575	COL4A3BP;POLK	5	74808039
cg00167504	0.0135057910029015	BLVRA	7	43798622
cg00168082	0.0416465143840113	ABL1	9	133589177
cg00168785	0.0184767192394129	WDSUB1	2	160142643
cg00168942	0.300270312599046	GJD4	10	35894430
cg00169548	0.129717522162244	NA	NA	0
cg00171126	0.0196804222304555	WRB	21	40752522
cg00171161	0.0770740996962363	NUDT9	4	88343636
cg00174500	0.603579097220841	CMTM5	14	23846479
cg00174901	0.701733384332181	PALM	19	709889
cg00176210	0.547487562101358	ANK1	8	41654967
cg00176879	0.993411722656726	VPS16;PTPRA	20	2843525
cg00177013	0.0390259212336708	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0137015580173949	PNPO	17	46018875
cg00177923	0.00980448717899754	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0238282555635515	UPF3B	X	118986947
cg00180012	0.0207748642222373	LACE1	6	108615929
cg00180631	0.346139179926996	MTM1	X	149736640
cg00182461	0.0630565031616471	NA	NA	0
cg00183782	0.792230285443976	NA	NA	0
cg00183916	0.0240701945372176	HS3ST3B1	17	14204936
cg00184884	0.00880549192641734	SFI1	22	31892343
cg00184893	0.0124130345371352	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0141580707594893	LRDD	11	804954
cg00186141	0.0129203597707401	PODXL	7	131241768
cg00186701	0.0635400394993335	TSPYL5	8	98290510
cg00186954	0.91776670326969	ST5;C11orf17	11	8933980
cg00187380	0.0305821537114832	HOXC4;HOXC5	12	54427384
cg00187686	0.115439835721429	TCN1	11	59634218
cg00188348	0.54180816858435	NA	NA	0
cg00191052	0.564021010258311	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0309856668398809	FAM53C	5	137673669
cg00197641	0.0732875093022603	MRPL52	14	23299461
cg00199549	0.966803366286569	MCM5	22	35795374
cg00200063	0.0146783367680065	USP32	17	58469941
cg00201234	0.511101818118868	FBLN2	3	13590968
cg00202702	0.0133411158942216	C11orf70	11	101918157
cg00202711	0.312874338893055	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0291614399059915	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0222716871221754	KIAA0174	16	71929512
cg00208830	0.795519057464755	LAMC2	1	183154778
cg00208967	0.435232455680804	OLFM2	19	10047924
cg00209066	0.954210837748566	BRD1	22	50218923
cg00209951	0.030716614558832	DENND2C	1	115212834
cg00210842	0.0132694537258322	APAF1;IKBIP	12	99039578
cg00211661	0.0170812388101997	ARAP1	11	72433619
cg00212549	0.124635869348709	NA	NA	0
cg00213044	0.433354179860754	KRT6A	12	52886438
cg00213331	0.954132948848058	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0121636727996363	NA	NA	0
cg00214794	0.608903860179716	NA	NA	0
cg00214855	0.174549820122983	CCDC90A	6	13813947
cg00215066	0.977911828635648	MYO9B	19	17212316
cg00216361	0.0186968667249403	GAP43	3	115342527
cg00216758	0.0318137518740498	RASSF7;C11orf35	11	560589
cg00217795	0.255330434758456	DIO2	14	80677688
cg00221494	0.630944424467224	FARP1	13	98794593
cg00223186	0.0129472950508485	ACBD6	1	180472200
cg00223950	0.0354832339139938	UBR4	1	19536222
cg00224234	0.0190576809151332	GLOD4;RNMTL1	17	685693
cg00224508	0.0115923850611743	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.886542450912602	FGD2	6	36972027
cg00228799	0.0190382264866833	ENDOG	9	131580591
cg00229387	0.0565836628224484	TJAP1	6	43445942
cg00230271	0.040258332558304	TBCK;AIMP1	4	107237183
cg00230368	0.0175669173627319	IGF2R	6	160389833
cg00230502	0.037412191423668	CCDC60	12	119772381
cg00230685	0.561926736906331	SCML1	X	17755839
cg00231140	0.224795119436961	ACAA2;SCARNA17	18	47339702
cg00231644	0.71186127758615	TUBB2A	6	3158512
cg00231920	0.0322298104155617	VPS16;FAM113A	20	2821308
cg00233307	0.0602659551971483	MAP4K1;EIF3K	19	39109076
cg00234616	0.722880863515994	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0226164808564951	RARA	17	38465489
cg00237010	0.0738246073342423	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.95777517862795	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0689269371642434	TTC21A;GORASP1	3	39148342
cg00240312	0.0189966754380359	NA	NA	0
