Hybridization REF	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.500828711825647	ATP2A1	16	28890100
cg00002426	0.321026287224105	SLMAP	3	57743543
cg00003994	0.067253288791415	MEOX2	7	15725862
cg00005847	0.378353316535727	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0560083424308618	PANX1	11	93862594
cg00008493	0.988830803418339	COX8C;KIAA1409	14	93813777
cg00008713	0.0156619463944697	IMPA2	18	11980953
cg00009407	0.0136534423301854	TTC8	14	89290921
cg00010193	0.563605825144866	NA	NA	0
cg00011459	0.925831634781914	TMEM186;PMM2	16	8890425
cg00012199	0.0146169379345329	ANG;RNASE4	14	21151024
cg00012386	0.0136556162231872	JMJD4;SNAP47	1	227922512
cg00012792	0.0243906837600097	MUTED	6	8064493
cg00013618	0.828286601730146		22	22380839
cg00014085	0.0125231027110879	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.421377523097469	QRFPR	4	122302007
cg00016968	0.618293434303008	RHOC	1	113250448
cg00019495	0.177989311694935	HOPX	4	57547525
cg00020533	0.932863807982817	TULP1	6	35480916
cg00021527	0.0391085837532099	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.657862799215794	CCDC88B	11	64108440
cg00024396	0.0365912210069572	ELOVL5	6	53214008
cg00024812	0.0310137252793874	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0144393620690098	MAP3K9	14	71275917
cg00025991	0.517540952100493	DIP2C	10	736625
cg00027083	0.133744626568508	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0538257708604416	CCNB1IP1	14	20801459
cg00029931	0.156518003226438	RPL36A	X	100645741
cg00030047	0.257435062147657	RNF207	1	6268790
cg00031162	0.71553668504938	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00907145816746674	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0472252326225309	FLJ13197;KLF3	4	38666773
cg00033773	0.775409212573243	MORG1;C19orf56	19	12779366
cg00034039	0.124044202373885	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.033153362229112	UBE2S	19	55919836
cg00037763	0.943701252863498	SETBP1	18	42281763
cg00037940	0.876492892131959	PIK3CB	3	138479285
cg00040861	0.0247388255875314	LSM7;SPPL2B	19	2328391
cg00040873	0.102122615147867	NDUFB10	16	2009157
cg00041575	0.531882636609467	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0313593774089707	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0266752274019648	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0308690634683553	CUL5	11	107879431
cg00047469	0.0562479870352954	POLE3;C9orf43	9	116172568
cg00049986	0.20581073360842	NA	NA	0
cg00050312	0.0163633765287093	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0337628347990676	C10orf4	10	95462161
cg00053292	0.0233696400750722	TACO1	17	61678300
cg00053647	0.0668898423110811	C7orf28B	7	6866072
cg00054706	0.0226422057318163	C1D	2	68289972
cg00055233	0.224454940978307	RLN1	9	5339677
cg00056767	0.0193674757720621	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.353108882924139	GLRA1	5	151304357
cg00059424	0.0257604408429275	PES1	22	30988148
cg00059740	0.0113385328110865	C7orf49	7	134855689
cg00059930	0.784021324192092	RB1	13	48894382
cg00060762	0.0316946164431557	LEO1	15	52264133
cg00060882	0.200489082265777	EIF2S3	X	24072811
