Hybridization REF	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.640161345711836	ATP2A1	16	28890100
cg00002426	0.0555419000591864	SLMAP	3	57743543
cg00003994	0.422829854580081	MEOX2	7	15725862
cg00005847	0.428677894554064	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0534965299545024	PANX1	11	93862594
cg00008493	0.988453505413032	COX8C;KIAA1409	14	93813777
cg00008713	0.0135660410361044	IMPA2	18	11980953
cg00009407	0.00980048750412099	TTC8	14	89290921
cg00010193	0.557428240047024	NA	NA	0
cg00011459	0.945659113495124	TMEM186;PMM2	16	8890425
cg00012199	0.0117463417254443	ANG;RNASE4	14	21151024
cg00012386	0.020832514664688	JMJD4;SNAP47	1	227922512
cg00012792	0.0404753860891933	MUTED	6	8064493
cg00013618	0.895185977858918		22	22380839
cg00014085	0.0107402018922318	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.149541547805532	QRFPR	4	122302007
cg00016968	0.415661208904085	RHOC	1	113250448
cg00019495	0.0701988196559937	HOPX	4	57547525
cg00020533	0.947899912160373	TULP1	6	35480916
cg00021527	0.0490768010373307	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.791531969594964	CCDC88B	11	64108440
cg00024396	0.0303610286233721	ELOVL5	6	53214008
cg00024812	0.0228452556673425	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0111852425293253	MAP3K9	14	71275917
cg00025991	0.530262025867944	DIP2C	10	736625
cg00027083	0.0232355996075209	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0751611523308227	CCNB1IP1	14	20801459
cg00029931	0.260472014811623	RPL36A	X	100645741
