Hybridization REF	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.546315469511436	ATP2A1	16	28890100
cg00002426	0.326779463213594	SLMAP	3	57743543
cg00003994	0.0419694990116494	MEOX2	7	15725862
cg00005847	0.37320081858209	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.03062675002612	PANX1	11	93862594
cg00008493	0.987834862098961	COX8C;KIAA1409	14	93813777
cg00008713	0.0139080876868116	IMPA2	18	11980953
cg00009407	0.0115264626712107	TTC8	14	89290921
cg00010193	0.669496547122668	NA	NA	0
cg00011459	0.938600016288815	TMEM186;PMM2	16	8890425
cg00012199	0.0132530691690481	ANG;RNASE4	14	21151024
cg00012386	0.0292295095930287	JMJD4;SNAP47	1	227922512
cg00012792	0.0273526755070388	MUTED	6	8064493
cg00013618	0.753114194543467		22	22380839
cg00014085	0.0127211194212242	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.405689657716016	QRFPR	4	122302007
cg00016968	0.48393118089645	RHOC	1	113250448
cg00019495	0.28506013343184	HOPX	4	57547525
cg00020533	0.933728288455193	TULP1	6	35480916
cg00021527	0.0303834050935491	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.749609509664065	CCDC88B	11	64108440
cg00024396	0.020391541905059	ELOVL5	6	53214008
cg00024812	0.0172531949420837	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0130455706366047	MAP3K9	14	71275917
cg00025991	0.529185352563947	DIP2C	10	736625
cg00027083	0.205741388100941	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0618160221243623	CCNB1IP1	14	20801459
cg00029931	0.460413448790089	RPL36A	X	100645741
cg00030047	0.469345140446778	RNF207	1	6268790
cg00031162	0.639061140705025	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.012489894334712	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0319606404161649	FLJ13197;KLF3	4	38666773
cg00033773	0.697168106287632	MORG1;C19orf56	19	12779366
cg00034039	0.0566346816597808	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0479215417483477	UBE2S	19	55919836
cg00037763	0.901883853724122	SETBP1	18	42281763
cg00037940	0.909748978019205	PIK3CB	3	138479285
cg00040861	0.0122518781171886	LSM7;SPPL2B	19	2328391
cg00040873	0.113778294757459	NDUFB10	16	2009157
cg00041575	0.491055292521282	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.154647747445001	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0301054085641825	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0313184030635396	CUL5	11	107879431
cg00047469	0.0117757536039375	POLE3;C9orf43	9	116172568
cg00049986	0.163871780264643	NA	NA	0
cg00050312	0.0174058115007637	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0313938182187217	C10orf4	10	95462161
cg00053292	0.0228507979076564	TACO1	17	61678300
cg00053647	0.0679135940880416	C7orf28B	7	6866072
cg00054706	0.0157570518444457	C1D	2	68289972
cg00055233	0.543921439651168	RLN1	9	5339677
cg00056767	0.0155395913723122	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.35216925599852	GLRA1	5	151304357
cg00059424	0.0219276238248163	PES1	22	30988148
cg00059740	0.012247169836288	C7orf49	7	134855689
cg00059930	0.850933249209876	RB1	13	48894382
cg00060762	0.0176380132136902	LEO1	15	52264133
cg00060882	0.0657538035861486	EIF2S3	X	24072811
cg00061059	0.0318719907397857	TECR	19	14640983
cg00061629	0.72656159785278	ALX4	11	44325258
cg00062776	0.838691234262617	TULP2	19	49402424
cg00063144	0.917662537485746	KRT31	17	39554055
cg00065385	0.970329180410615	ACTL7A	9	111623395
cg00065408	0.0120489173366886	CACNB3	12	49212475
cg00066153	0.956309594320105	ACRV1	11	125550744
cg00066816	0.230036753766489	IL12B	5	158758353
cg00067471	0.0659909187930084	ATP5D	19	1241377
cg00069261	0.0281248278687185	CDR2	16	22386531
cg00071250	0.638205557208604	FASLG	1	172628263
cg00071998	0.0266353296836137	MSH5	6	31708121
cg00072216	0.0144416234349856	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.613504979663113	STRA6	15	74495354
cg00076645	0.016798703080503	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.753945083596595	ASAP1	8	131414474
cg00078194	0.0150717749563843	MDK	11	46402949
cg00078867	0.769349359774015	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0141351786317085	ARFGAP3	22	43253521
cg00080012	0.0120197366399262	EED	11	85955689
cg00081935	0.0251138621460685	TSPAN9	12	3186906
cg00081975	0.0364413147955681	ABCC3	17	48712370
cg00083720	0.0154542186266407	NA	NA	0
cg00083937	0.682676636417736	MAPK8IP2	22	51039805
cg00084687	0.0139792319281312	GATAD1	7	92076896
cg00089071	0.0130769527154935	PCGF2	17	36905809
cg00090147	0.141708603191127	GATA4	8	11562367
cg00091693	0.734713077436485	KRT20	17	39041602
cg00093177	0.930809378446305		17	37185495
cg00094319	0.842752456422881	PABPC3	13	25670530
cg00094851	0.101417739482734	KIF3C	2	26205706
cg00095526	0.743255298071195	CACNA1S	1	201081686
cg00095674	0.0483888515993621	PLEKHO1	1	150122654
cg00096922	0.0272680036436008	DLX5	7	96654185
cg00097536	0.0163491677207128	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0130646238046596	PNPLA6	19	7599173
cg00099550	0.0241468655403135	NA	NA	0
cg00101227	0.808546572088738	MPZ	1	161280266
cg00103783	0.012803828471608	MPDU1	17	7487249
cg00105253	0.0574497705349696	NUDT14	14	105647194
cg00105470	0.0161823083593391	C1orf35	1	228290868
cg00107187	0.6041946447543	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0106730845232607	PGM2	4	37828500
cg00108454	0.397286754511626	C1QA	1	22963614
cg00109274	0.00930486831918086	DGKH	13	42623032
cg00112517	0.15948382801869	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.158832874902551	CABP1	12	121078090
cg00115714	0.0293007140544389	AMD1	6	111196112
cg00116234	0.250721391554619	ADAMTSL1	9	18474243
cg00116838	0.0844672670780179	RTN2;FLJ40125	19	46001746
cg00117172	0.479655098256584	RUNX3	1	25255838
cg00119079	0.0197217662850512	LAMP3	3	182880278
cg00121158	0.0142618648190777	KDM4C	9	6757826
cg00121640	0.12869116850751	ASTN2	9	120176515
cg00121904	0.191479621573715	MAOB	X	43741826
cg00123035	0.0199912199793057	RFX5	1	151319538
cg00126034	0.0309673606256948	WNT3	17	44896162
cg00126657	0.284066942857931	SSX6	X	47967250
cg00126698	0.752594162386832	BTK	X	100640503
cg00128197	0.426032221117924	HSD17B10	X	53461455
cg00128560	0.949753089319011	TIGD7	16	3352013
cg00128654	0.0145862965953096	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0758992237922309	MKNK1	1	47070178
cg00129774	0.0215767515681766	CDK2;SILV	12	56360414
cg00131121	0.0265857991153574	POLR2J	7	102119710
cg00131557	0.955030096161692	DNAJC15	13	43596656
cg00132141	0.587937581972768	CTNNA3	10	69456307
cg00133909	0.0421491691979244	CD276	15	73977201
cg00134539	0.84720894985784	UBASH3A	21	43824071
cg00134787	0.652921440863102	MYH1	17	10419499
cg00135056	0.0917295692118152	C3orf37	3	128997295
cg00135393	0.207661646524176	NA	NA	0
cg00136105	0.0146546810179555	GNPTAB	12	102224911
cg00136405	0.249390455778629	IL21	4	123542198
cg00136477	0.744050600608747	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.747909894837476	PMEPA1	20	56286697
cg00141162	0.586778064057863	HCLS1	3	121379777
cg00141550	0.667909795191461	NA	NA	0
cg00141845	0.19618539738299	UPRT	X	74493352
cg00143376	0.585810600872471	NMUR1	2	232394702
cg00143998	0.0414953565780987	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.327736825823946	GNPDA1	5	141393931
cg00145348	0.546269062736046	APEX2	X	55026862
cg00146096	0.0141016952418569	FANCF	11	22647309
cg00149659	0.0235283166699593	C3orf10	3	10157352
cg00149976	0.0144449002505088	MGLL	3	127541529
cg00151234	0.493520647252126	PGK1	X	77359363
cg00151607	0.0122589437081591	TRAPPC2L;GALNS	16	88923507
