Hybridization REF	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.337786183609119	ATP2A1	16	28890100
cg00002426	0.216572547770426	SLMAP	3	57743543
cg00003994	0.0521158397361953	MEOX2	7	15725862
cg00005847	0.693358274127701	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0237257645875189	PANX1	11	93862594
cg00008493	0.986779192324048	COX8C;KIAA1409	14	93813777
cg00008713	0.0134007543872077	IMPA2	18	11980953
cg00009407	0.00893565182806203	TTC8	14	89290921
cg00010193	0.611532036435844	NA	NA	0
cg00011459	0.950374455717615	TMEM186;PMM2	16	8890425
cg00012199	0.0153478335001073	ANG;RNASE4	14	21151024
cg00012386	0.0208633668540842	JMJD4;SNAP47	1	227922512
cg00012792	0.0177306491571844	MUTED	6	8064493
cg00013618	0.724348530623535		22	22380839
cg00014085	0.0161790827675382	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.168816745710705	QRFPR	4	122302007
cg00016968	0.526003771723174	RHOC	1	113250448
cg00019495	0.198060057996368	HOPX	4	57547525
cg00020533	0.85544219906732	TULP1	6	35480916
cg00021527	0.0171378772583783	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.718729049464973	CCDC88B	11	64108440
cg00024396	0.0155024073015477	ELOVL5	6	53214008
cg00024812	0.0189084606653545	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0133313567361721	MAP3K9	14	71275917
cg00025991	0.573089339214326	DIP2C	10	736625
cg00027083	0.168366788854401	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0726692825176665	CCNB1IP1	14	20801459
cg00029931	0.429553564343246	RPL36A	X	100645741
cg00030047	0.271710058791889	RNF207	1	6268790
cg00031162	0.608846506026584	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0104678082861429	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0378848596601625	FLJ13197;KLF3	4	38666773
cg00033773	0.879409463617564	MORG1;C19orf56	19	12779366
cg00034039	0.0519977815742723	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0410226474302703	UBE2S	19	55919836
cg00037763	0.923752008486884	SETBP1	18	42281763
cg00037940	0.905950571363718	PIK3CB	3	138479285
cg00040861	0.0178065246270533	LSM7;SPPL2B	19	2328391
cg00040873	0.131893668877054	NDUFB10	16	2009157
cg00041575	0.468166366183207	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.332207784769129	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0365868464845124	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0209316777590526	CUL5	11	107879431
cg00047469	0.0166903385333245	POLE3;C9orf43	9	116172568
