Hybridization REF	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.596928469332009	ATP2A1	16	28890100
cg00002426	0.0595274154453441	SLMAP	3	57743543
cg00003994	0.110802394845522	MEOX2	7	15725862
cg00005847	0.227374847298234	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0254015356734287	PANX1	11	93862594
cg00008493	0.986465301383063	COX8C;KIAA1409	14	93813777
cg00008713	0.0208899851211567	IMPA2	18	11980953
cg00009407	0.0144825307717958	TTC8	14	89290921
cg00010193	0.552349532908268	NA	NA	0
cg00011459	0.912073120303111	TMEM186;PMM2	16	8890425
cg00012199	0.014916087261089	ANG;RNASE4	14	21151024
cg00012386	0.0323128192105383	JMJD4;SNAP47	1	227922512
cg00012792	0.0462714345732275	MUTED	6	8064493
cg00013618	0.668809865883599		22	22380839
cg00014085	0.0131406527813771	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.222150122265388	QRFPR	4	122302007
cg00016968	0.325821027326322	RHOC	1	113250448
cg00019495	0.159392441852364	HOPX	4	57547525
cg00020533	0.875268455542453	TULP1	6	35480916
cg00021527	0.0352157096089768	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.798655910320427	CCDC88B	11	64108440
cg00024396	0.0253342933625877	ELOVL5	6	53214008
cg00024812	0.0232495949265843	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0127591374732637	MAP3K9	14	71275917
cg00025991	0.565394716911655	DIP2C	10	736625
cg00027083	0.533994379013427	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0496700190809258	CCNB1IP1	14	20801459
cg00029931	0.335255876221426	RPL36A	X	100645741
cg00030047	0.482560778982172	RNF207	1	6268790
cg00031162	0.713307725865622	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0159179449914312	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0321076316097098	FLJ13197;KLF3	4	38666773
cg00033773	0.624485034152893	MORG1;C19orf56	19	12779366
cg00034039	0.181476714607482	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.079452675859139	UBE2S	19	55919836
cg00037763	0.890097079121974	SETBP1	18	42281763
cg00037940	0.9461662724717	PIK3CB	3	138479285
cg00040861	0.0154762980386224	LSM7;SPPL2B	19	2328391
cg00040873	0.0439563918673312	NDUFB10	16	2009157
cg00041575	0.645463144553441	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0820841259934828	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0379230574075298	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.027541198472658	CUL5	11	107879431
cg00047469	0.0510306000123212	POLE3;C9orf43	9	116172568
cg00049986	0.170872995033423	NA	NA	0
cg00050312	0.0164994457486381	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.049326728675285	C10orf4	10	95462161
cg00053292	0.0224999693889974	TACO1	17	61678300
cg00053647	0.052044443022662	C7orf28B	7	6866072
cg00054706	0.0224724005005319	C1D	2	68289972
cg00055233	0.259911224498152	RLN1	9	5339677
cg00056767	0.0219320103091193	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.494140943167434	GLRA1	5	151304357
cg00059424	0.0210119984976661	PES1	22	30988148
cg00059740	0.0104428798230574	C7orf49	7	134855689
cg00059930	0.887507278909136	RB1	13	48894382
cg00060762	0.0560701959167172	LEO1	15	52264133
cg00060882	0.117999543821444	EIF2S3	X	24072811
cg00061059	0.041328655696921	TECR	19	14640983
cg00061629	0.422957569195211	ALX4	11	44325258
cg00062776	0.988261412113277	TULP2	19	49402424
cg00063144	0.947290935385332	KRT31	17	39554055
cg00065385	0.968370955015254	ACTL7A	9	111623395
cg00065408	0.0277539496656761	CACNB3	12	49212475
cg00066153	0.967444444374816	ACRV1	11	125550744
cg00066816	0.149354298777272	IL12B	5	158758353
cg00067471	0.0342659932602711	ATP5D	19	1241377
cg00069261	0.0495376004859386	CDR2	16	22386531
