Hybridization REF	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.63567179749305	ATP2A1	16	28890100
cg00002426	0.118295218798748	SLMAP	3	57743543
cg00003994	0.0270091159391295	MEOX2	7	15725862
cg00005847	0.234446462370403	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0336305284467237	PANX1	11	93862594
cg00008493	0.987316281856684	COX8C;KIAA1409	14	93813777
cg00008713	0.0150588405392948	IMPA2	18	11980953
cg00009407	0.0121122761861585	TTC8	14	89290921
cg00010193	0.623888783943818	NA	NA	0
cg00011459	0.963965403282133	TMEM186;PMM2	16	8890425
cg00012199	0.0143029897403184	ANG;RNASE4	14	21151024
cg00012386	0.0188267618438612	JMJD4;SNAP47	1	227922512
cg00012792	0.0251848404951906	MUTED	6	8064493
cg00013618	0.705024227138895		22	22380839
cg00014085	0.0204289624539715	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.165617146727373	QRFPR	4	122302007
cg00016968	0.437100896686394	RHOC	1	113250448
cg00019495	0.157355781851464	HOPX	4	57547525
cg00020533	0.881593259682509	TULP1	6	35480916
cg00021527	0.0156809657543419	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.784584446537712	CCDC88B	11	64108440
cg00024396	0.0179147846009793	ELOVL5	6	53214008
cg00024812	0.0198678456730249	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0143298847540009	MAP3K9	14	71275917
cg00025991	0.60899263764201	DIP2C	10	736625
cg00027083	0.116447595507685	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0752111954245073	CCNB1IP1	14	20801459
cg00029931	0.449875862481203	RPL36A	X	100645741
cg00030047	0.281354087235751	RNF207	1	6268790
cg00031162	0.574144395366686	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0116175077396291	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0340276031531365	FLJ13197;KLF3	4	38666773
cg00033773	0.831270118584716	MORG1;C19orf56	19	12779366
cg00034039	0.063101769068948	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0602301585915186	UBE2S	19	55919836
cg00037763	0.958415727435312	SETBP1	18	42281763
cg00037940	0.913681969215103	PIK3CB	3	138479285
cg00040861	0.015451933761024	LSM7;SPPL2B	19	2328391
cg00040873	0.047432179068045	NDUFB10	16	2009157
cg00041575	0.448931357050054	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0130362274543455	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0250813622935597	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0259195293723402	CUL5	11	107879431
cg00047469	0.0170648077649437	POLE3;C9orf43	9	116172568
cg00049986	0.182958446143213	NA	NA	0
cg00050312	0.0136359900479513	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0351237184460718	C10orf4	10	95462161
cg00053292	0.0284448842707381	TACO1	17	61678300
cg00053647	0.0721258576722611	C7orf28B	7	6866072
cg00054706	0.0138280952376313	C1D	2	68289972
