Hybridization REF	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.587738798855745	ATP2A1	16	28890100
cg00002426	0.64576222278205	SLMAP	3	57743543
cg00003994	0.0406372375556812	MEOX2	7	15725862
cg00005847	0.350265684418075	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0277716165133601	PANX1	11	93862594
cg00008493	0.989326402013767	COX8C;KIAA1409	14	93813777
cg00008713	0.0119699157984294	IMPA2	18	11980953
cg00009407	0.0107027422724874	TTC8	14	89290921
cg00010193	0.572858798205769	NA	NA	0
cg00011459	0.942679848898412	TMEM186;PMM2	16	8890425
cg00012199	0.0122288777134545	ANG;RNASE4	14	21151024
cg00012386	0.0174180005157005	JMJD4;SNAP47	1	227922512
cg00012792	0.0232350619950937	MUTED	6	8064493
cg00013618	0.634395991954434		22	22380839
cg00014085	0.0158844484382539	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.27274750603198	QRFPR	4	122302007
cg00016968	0.713131969574514	RHOC	1	113250448
cg00019495	0.270295557808399	HOPX	4	57547525
cg00020533	0.844847298423483	TULP1	6	35480916
cg00021527	0.0197765057916462	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.567250577341803	CCDC88B	11	64108440
cg00024396	0.024677846523296	ELOVL5	6	53214008
cg00024812	0.0209107497359244	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0128812874989495	MAP3K9	14	71275917
cg00025991	0.462946576279843	DIP2C	10	736625
cg00027083	0.416275921113729	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0652262451127738	CCNB1IP1	14	20801459
cg00029931	0.309515419178454	RPL36A	X	100645741
cg00030047	0.410653426619891	RNF207	1	6268790
cg00031162	0.540690797699303	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0133047723763038	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0782557399386361	FLJ13197;KLF3	4	38666773
cg00033773	0.748641423208646	MORG1;C19orf56	19	12779366
cg00034039	0.0518311513828071	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0681750312980555	UBE2S	19	55919836
cg00037763	0.777193245723422	SETBP1	18	42281763
cg00037940	0.841486737481941	PIK3CB	3	138479285
cg00040861	0.0133864763230969	LSM7;SPPL2B	19	2328391
cg00040873	0.203192737652314	NDUFB10	16	2009157
cg00041575	0.221616058606617	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.103112503590407	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0543737455602612	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0311356642321152	CUL5	11	107879431
cg00047469	0.0132257677452295	POLE3;C9orf43	9	116172568
cg00049986	0.108318362367721	NA	NA	0
cg00050312	0.0116407802774618	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0361020995060536	C10orf4	10	95462161
cg00053292	0.019404534664602	TACO1	17	61678300
cg00053647	0.0521020997638804	C7orf28B	7	6866072
cg00054706	0.0153633108026971	C1D	2	68289972
cg00055233	0.319307225809242	RLN1	9	5339677
cg00056767	0.0185657270358174	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.457035806989529	GLRA1	5	151304357
cg00059424	0.0211604010511967	PES1	22	30988148
cg00059740	0.0123270627496297	C7orf49	7	134855689
cg00059930	0.706866295836835	RB1	13	48894382
cg00060762	0.0168555335999052	LEO1	15	52264133
cg00060882	0.0853713386469373	EIF2S3	X	24072811
cg00061059	0.0318075136526415	TECR	19	14640983
cg00061629	0.667415523994453	ALX4	11	44325258
cg00062776	0.915690918367859	TULP2	19	49402424
cg00063144	0.84405029029515	KRT31	17	39554055
cg00065385	0.957399165221826	ACTL7A	9	111623395
cg00065408	0.0208566095376983	CACNB3	12	49212475
cg00066153	0.931868228016592	ACRV1	11	125550744
cg00066816	0.178172635491762	IL12B	5	158758353
cg00067471	0.0784459179909466	ATP5D	19	1241377
cg00069261	0.0277736019163305	CDR2	16	22386531
cg00071250	0.307760514168434	FASLG	1	172628263
cg00071998	0.0228194487429083	MSH5	6	31708121
cg00072216	0.0173395625815531	MXD4	4	2263638
