Hybridization REF	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.728254598101371	ATP2A1	16	28890100
cg00002426	0.246513817402319	SLMAP	3	57743543
cg00003994	0.114001215912878	MEOX2	7	15725862
cg00005847	0.691588979807867	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0396110901263914	PANX1	11	93862594
cg00008493	0.990504136193883	COX8C;KIAA1409	14	93813777
cg00008713	0.0176108801780705	IMPA2	18	11980953
cg00009407	0.01005611466536	TTC8	14	89290921
cg00010193	0.619934129600031	NA	NA	0
cg00011459	0.960391238109102	TMEM186;PMM2	16	8890425
cg00012199	0.0125521185304418	ANG;RNASE4	14	21151024
cg00012386	0.0266814086782437	JMJD4;SNAP47	1	227922512
cg00012792	0.0188728266299144	MUTED	6	8064493
cg00013618	0.751318724904252		22	22380839
cg00014085	0.0147325524161779	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.150828320445519	QRFPR	4	122302007
cg00016968	0.522881266508335	RHOC	1	113250448
cg00019495	0.0965342661674688	HOPX	4	57547525
cg00020533	0.925575062932526	TULP1	6	35480916
cg00021527	0.0252057025048618	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.715515307194977	CCDC88B	11	64108440
cg00024396	0.0180319202139753	ELOVL5	6	53214008
cg00024812	0.0178474479010449	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.00966391233158634	MAP3K9	14	71275917
cg00025991	0.513327127999864	DIP2C	10	736625
cg00027083	0.299639743782679	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0670785659030075	CCNB1IP1	14	20801459
cg00029931	0.142581284700891	RPL36A	X	100645741
cg00030047	0.364835491598696	RNF207	1	6268790
cg00031162	0.780821227315653	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00997849381831074	TMEM104;NAT9	17	72772512
