Hybridization REF	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.664961055836315	ATP2A1	16	28890100
cg00002426	0.0670814903270896	SLMAP	3	57743543
cg00003994	0.0554987326586648	MEOX2	7	15725862
cg00005847	0.875244401506617	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0713151326989137	PANX1	11	93862594
cg00008493	0.990727520164787	COX8C;KIAA1409	14	93813777
cg00008713	0.0229838555333759	IMPA2	18	11980953
cg00009407	0.00974080833945118	TTC8	14	89290921
cg00010193	0.574117045810099	NA	NA	0
cg00011459	0.969149994442632	TMEM186;PMM2	16	8890425
cg00012199	0.013051871404629	ANG;RNASE4	14	21151024
cg00012386	0.0175598966923236	JMJD4;SNAP47	1	227922512
cg00012792	0.0400650746269424	MUTED	6	8064493
cg00013618	0.840079133211526		22	22380839
cg00014085	0.0149461806857376	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.483245737035416	QRFPR	4	122302007
cg00016968	0.287609960848055	RHOC	1	113250448
cg00019495	0.0381618111308091	HOPX	4	57547525
cg00020533	0.949617851204514	TULP1	6	35480916
cg00021527	0.0191945465601028	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.79767999296223	CCDC88B	11	64108440
cg00024396	0.0183116732332811	ELOVL5	6	53214008
cg00024812	0.0195583042768127	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.00922633024507813	MAP3K9	14	71275917
cg00025991	0.465877100528945	DIP2C	10	736625
cg00027083	0.753481262788641	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0656785348948233	CCNB1IP1	14	20801459
cg00029931	0.256118531793693	RPL36A	X	100645741
cg00030047	0.839182465571455	RNF207	1	6268790
cg00031162	0.686965627784919	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00963537540698627	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0395508744435997	FLJ13197;KLF3	4	38666773
cg00033773	0.429114178975022	MORG1;C19orf56	19	12779366
cg00034039	0.116297200450552	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0953394532955144	UBE2S	19	55919836
cg00037763	0.952793391805205	SETBP1	18	42281763
cg00037940	0.906523578861082	PIK3CB	3	138479285
cg00040861	0.0135626088745843	LSM7;SPPL2B	19	2328391
cg00040873	0.0836272753270098	NDUFB10	16	2009157
cg00041575	0.720903781758361	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0323604122356275	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.338380145675008	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0414274310173424	CUL5	11	107879431
cg00047469	0.0625441007663844	POLE3;C9orf43	9	116172568
cg00049986	0.123628720237206	NA	NA	0
cg00050312	0.40570685187022	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0402085371273037	C10orf4	10	95462161
cg00053292	0.0200372353461206	TACO1	17	61678300
cg00053647	0.0519316987608377	C7orf28B	7	6866072
cg00054706	0.0187896089040463	C1D	2	68289972
cg00055233	0.113017653428948	RLN1	9	5339677
cg00056767	0.0347648004294374	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.291011861500692	GLRA1	5	151304357
cg00059424	0.0359552289057809	PES1	22	30988148
cg00059740	0.00865364991489057	C7orf49	7	134855689
cg00059930	0.310063867249722	RB1	13	48894382
cg00060762	0.0145250605794934	LEO1	15	52264133
cg00060882	0.086948975187672	EIF2S3	X	24072811
cg00061059	0.0616066514907067	TECR	19	14640983
cg00061629	0.964184529856128	ALX4	11	44325258
cg00062776	0.988102877694212	TULP2	19	49402424
cg00063144	0.939678000573881	KRT31	17	39554055
cg00065385	0.967928734215484	ACTL7A	9	111623395
cg00065408	0.0352481590438353	CACNB3	12	49212475
cg00066153	0.825563115824358	ACRV1	11	125550744
cg00066816	0.490899129957184	IL12B	5	158758353
cg00067471	0.0686589306636286	ATP5D	19	1241377
cg00069261	0.0844689592203908	CDR2	16	22386531
cg00071250	0.721593433458105	FASLG	1	172628263
cg00071998	0.0185098777680787	MSH5	6	31708121
cg00072216	0.0128634182798872	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.113099565889382	STRA6	15	74495354
cg00076645	0.0172574454222487	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.0410662281181202	ASAP1	8	131414474
cg00078194	0.0152116756571397	MDK	11	46402949
cg00078867	0.466838814603676	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0689742913619461	ARFGAP3	22	43253521
cg00080012	0.0123416525578724	EED	11	85955689
cg00081935	0.0226986995274226	TSPAN9	12	3186906
cg00081975	0.0212322543082663	ABCC3	17	48712370
cg00083720	0.00927136064185773	NA	NA	0
cg00083937	0.528275302685145	MAPK8IP2	22	51039805
cg00084687	0.0102918389866537	GATAD1	7	92076896
cg00089071	0.0147537482643836	PCGF2	17	36905809
cg00090147	0.824815835692842	GATA4	8	11562367
cg00091693	0.224793549014049	KRT20	17	39041602
cg00093177	0.903298477838018		17	37185495
cg00094319	0.875994622147771	PABPC3	13	25670530
cg00094851	0.0413158280395131	KIF3C	2	26205706
cg00095526	0.789499608561407	CACNA1S	1	201081686
cg00095674	0.0717443629809625	PLEKHO1	1	150122654
cg00096922	0.391381058586029	DLX5	7	96654185
cg00097536	0.010427115230737	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0122491229076676	PNPLA6	19	7599173
cg00099550	0.0167239462315748	NA	NA	0
cg00101227	0.853093321792623	MPZ	1	161280266
cg00103783	0.0137111113789123	MPDU1	17	7487249
cg00105253	0.0202621994859605	NUDT14	14	105647194
cg00105470	0.0255693602522935	C1orf35	1	228290868
cg00107187	0.179004711289771	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0112345489093277	PGM2	4	37828500
cg00108454	0.293839110079074	C1QA	1	22963614
cg00109274	0.0531731470946003	DGKH	13	42623032
cg00112517	0.438685227181106	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0833976187857571	CABP1	12	121078090
cg00115714	0.244878053467419	AMD1	6	111196112
cg00116234	0.707894648278879	ADAMTSL1	9	18474243
cg00116838	0.0429807746766201	RTN2;FLJ40125	19	46001746
cg00117172	0.718489458969458	RUNX3	1	25255838
cg00119079	0.1392659494025	LAMP3	3	182880278
cg00121158	0.0130396579240953	KDM4C	9	6757826
cg00121640	0.0344577278769608	ASTN2	9	120176515
cg00121904	0.0366286297684004	MAOB	X	43741826
cg00123035	0.0276800474231696	RFX5	1	151319538
cg00126034	0.0209028591422432	WNT3	17	44896162
cg00126657	0.295036723056334	SSX6	X	47967250
cg00126698	0.49034193972902	BTK	X	100640503
cg00128197	0.385298040351597	HSD17B10	X	53461455
cg00128560	0.979768013333162	TIGD7	16	3352013
cg00128654	0.0152672767810074	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0436879105395536	MKNK1	1	47070178
cg00129774	0.0155902888224994	CDK2;SILV	12	56360414
cg00131121	0.0422591007094532	POLR2J	7	102119710
cg00131557	0.905775688602516	DNAJC15	13	43596656
cg00132141	0.228645491042833	CTNNA3	10	69456307
cg00133909	0.0398739622400008	CD276	15	73977201
cg00134539	0.908381547516076	UBASH3A	21	43824071
cg00134787	0.159364896345455	MYH1	17	10419499
cg00135056	0.0726330805798235	C3orf37	3	128997295
cg00135393	0.137666409853279	NA	NA	0
cg00136105	0.0126988908897809	GNPTAB	12	102224911
cg00136405	0.0829402438731043	IL21	4	123542198
cg00136477	0.83358742209604	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.865365419618987	PMEPA1	20	56286697
cg00141162	0.724776588579394	HCLS1	3	121379777
cg00141550	0.502956746287263	NA	NA	0
cg00141845	0.0791888603239279	UPRT	X	74493352
cg00143376	0.826502735507282	NMUR1	2	232394702
cg00143998	0.0573207171547113	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.0644555698565682	GNPDA1	5	141393931
cg00145348	0.43310129444947	APEX2	X	55026862
cg00146096	0.0280853222536441	FANCF	11	22647309
cg00149659	0.0156612184302381	C3orf10	3	10157352
cg00149976	0.0137337730815078	MGLL	3	127541529
cg00151234	0.294305382834282	PGK1	X	77359363
cg00151607	0.0134050271968808	TRAPPC2L;GALNS	16	88923507
cg00152644	0.677735452965715	SPRR2E	1	153068236
cg00155167	0.0128467190881655	VPS13B	8	100025831
cg00155485	0.0251782948474325	MED13L	12	116714600
cg00155609	0.0219799398073737	PRDX2	19	12912527
cg00156216	0.0186022057498935	APLP2	11	129939849
cg00156744	0.0879616414061338	STK10	5	171615663
cg00158308	0.0290020753999165	OXGR1	13	97646341
cg00160914	0.050350174537169	DDX20;C1orf183	1	112299263
cg00162401	0.0258285827825926	GSTA4	6	52859823
cg00162643	0.0341008591919281	DDX58	9	32526492
cg00164041	0.162294265774403	NA	NA	0
cg00164898	0.0562539166596723	MAPK11	22	50709127
cg00165981	0.0380984648260711	COL4A3BP;POLK	5	74808039
cg00167504	0.0104451209900787	BLVRA	7	43798622
cg00168082	0.0308244469365414	ABL1	9	133589177
cg00168785	0.0505887716349553	WDSUB1	2	160142643
cg00168942	0.261695196076746	GJD4	10	35894430
cg00169548	0.109356817530407	NA	NA	0
cg00171126	0.0180188317376064	WRB	21	40752522
cg00171161	0.0705867473181104	NUDT9	4	88343636
cg00174500	0.848959401335177	CMTM5	14	23846479
cg00174901	0.378788099190532	PALM	19	709889
cg00176210	0.546805502689458	ANK1	8	41654967
cg00176879	0.994290237390098	VPS16;PTPRA	20	2843525
cg00177013	0.0416910845508076	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0167363634556696	PNPO	17	46018875
cg00177923	0.0177175482759447	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0301821364741354	UPF3B	X	118986947
cg00180012	0.0460915801150588	LACE1	6	108615929
cg00180631	0.482075188923276	MTM1	X	149736640
cg00182461	0.162169183575644	NA	NA	0
cg00183782	0.864254737243325	NA	NA	0
cg00183916	0.00813620395061102	HS3ST3B1	17	14204936
cg00184884	0.0116933558143259	SFI1	22	31892343
cg00184893	0.0107224881135177	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0109737327624728	LRDD	11	804954
cg00186141	0.0121154566242788	PODXL	7	131241768
cg00186701	0.50113658031673	TSPYL5	8	98290510
cg00186954	0.850489288785459	ST5;C11orf17	11	8933980
cg00187380	0.556266587187624	HOXC4;HOXC5	12	54427384
cg00187686	0.187080250965804	TCN1	11	59634218
cg00188348	0.63327734751441	NA	NA	0
cg00191052	0.558379807998627	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0354270455241137	FAM53C	5	137673669
cg00197641	0.0497366039499416	MRPL52	14	23299461
cg00199549	0.976804832602868	MCM5	22	35795374
cg00200063	0.0198602733232586	USP32	17	58469941
cg00201234	0.534057035354984	FBLN2	3	13590968
cg00202702	0.0136891864940997	C11orf70	11	101918157
cg00202711	0.641762701014102	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0232863556266221	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0295660984601207	KIAA0174	16	71929512
cg00208830	0.472738251271859	LAMC2	1	183154778
cg00208967	0.709389881028931	OLFM2	19	10047924
cg00209066	0.916503028849761	BRD1	22	50218923
cg00209951	0.0389729554551312	DENND2C	1	115212834
cg00210842	0.020666291591806	APAF1;IKBIP	12	99039578
cg00211661	0.0172343918854996	ARAP1	11	72433619
cg00212549	0.0588263736761811	NA	NA	0
cg00213044	0.671650004275194	KRT6A	12	52886438
cg00213331	0.946398830126115	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0144977720087663	NA	NA	0
cg00214794	0.669426943271098	NA	NA	0
cg00214855	0.19577870771891	CCDC90A	6	13813947
cg00215066	0.98092908855866	MYO9B	19	17212316
cg00216361	0.0212001624603895	GAP43	3	115342527
cg00216758	0.0210608637931692	RASSF7;C11orf35	11	560589
cg00217795	0.163356561489699	DIO2	14	80677688
cg00221494	0.0926594440351922	FARP1	13	98794593
cg00223186	0.021598095000601	ACBD6	1	180472200
cg00223950	0.0207297723636779	UBR4	1	19536222
cg00224234	0.020063419503409	GLOD4;RNMTL1	17	685693
cg00224508	0.0231144983039343	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.905846606966823	FGD2	6	36972027
cg00228799	0.0122542332001381	ENDOG	9	131580591
cg00229387	0.0640115513456532	TJAP1	6	43445942
