Hybridization REF	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.643538830814712	ATP2A1	16	28890100
cg00002426	0.337271271240175	SLMAP	3	57743543
cg00003994	0.0241212145376124	MEOX2	7	15725862
cg00005847	0.490820258626936	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0472126941374093	PANX1	11	93862594
cg00008493	0.987985914468241	COX8C;KIAA1409	14	93813777
cg00008713	0.0211683737248129	IMPA2	18	11980953
cg00009407	0.0114775982491687	TTC8	14	89290921
cg00010193	0.599883808568402	NA	NA	0
cg00011459	0.872244327330449	TMEM186;PMM2	16	8890425
cg00012199	0.012592802747081	ANG;RNASE4	14	21151024
cg00012386	0.025567360541583	JMJD4;SNAP47	1	227922512
cg00012792	0.0254148164134147	MUTED	6	8064493
cg00013618	0.830212858053774		22	22380839
cg00014085	0.0144133346750847	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.422951100925422	QRFPR	4	122302007
cg00016968	0.555605229207148	RHOC	1	113250448
cg00019495	0.369539327252338	HOPX	4	57547525
cg00020533	0.932270054629099	TULP1	6	35480916
cg00021527	0.0143165295705685	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.729818638158562	CCDC88B	11	64108440
cg00024396	0.0179240226616102	ELOVL5	6	53214008
cg00024812	0.0199642236687138	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0135869274775639	MAP3K9	14	71275917
cg00025991	0.53332187696417	DIP2C	10	736625
cg00027083	0.325818054644491	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0473155680645321	CCNB1IP1	14	20801459
cg00029931	0.463281247091531	RPL36A	X	100645741
cg00030047	0.456994009963958	RNF207	1	6268790
cg00031162	0.557630867386939	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0122865993198882	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0445005151778467	FLJ13197;KLF3	4	38666773
cg00033773	0.609301212363904	MORG1;C19orf56	19	12779366
cg00034039	0.0655647726687832	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0554181288213373	UBE2S	19	55919836
cg00037763	0.883510741658204	SETBP1	18	42281763
cg00037940	0.882406870007032	PIK3CB	3	138479285
cg00040861	0.013180534450199	LSM7;SPPL2B	19	2328391
cg00040873	0.12692722685622	NDUFB10	16	2009157
cg00041575	0.558187101279708	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
