Hybridization REF	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.456496509340317	ATP2A1	16	28890100
cg00002426	0.282896837970285	SLMAP	3	57743543
cg00003994	0.0278842963084571	MEOX2	7	15725862
cg00005847	0.447383144524368	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0491332787775229	PANX1	11	93862594
cg00008493	0.987909491455163	COX8C;KIAA1409	14	93813777
cg00008713	0.0154476642042752	IMPA2	18	11980953
cg00009407	0.01234017217971	TTC8	14	89290921
cg00010193	0.519936486384132	NA	NA	0
cg00011459	0.950247094820991	TMEM186;PMM2	16	8890425
cg00012199	0.0126168908158421	ANG;RNASE4	14	21151024
cg00012386	0.0180782292242901	JMJD4;SNAP47	1	227922512
cg00012792	0.0214629822683717	MUTED	6	8064493
cg00013618	0.460895811641742		22	22380839
cg00014085	0.0161955282418892	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.127321057979821	QRFPR	4	122302007
cg00016968	0.544566910340887	RHOC	1	113250448
cg00019495	0.26086052144231	HOPX	4	57547525
cg00020533	0.688188111735832	TULP1	6	35480916
cg00021527	0.0188988004994637	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.707968565383523	CCDC88B	11	64108440
cg00024396	0.0198783154905506	ELOVL5	6	53214008
cg00024812	0.0232048278413167	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0152509934948485	MAP3K9	14	71275917
cg00025991	0.602284555247267	DIP2C	10	736625
cg00027083	0.3333733018843	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0662796043479482	CCNB1IP1	14	20801459
cg00029931	0.218365726852146	RPL36A	X	100645741
cg00030047	0.445661315855538	RNF207	1	6268790
cg00031162	0.546178934117893	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.01524389025702	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0642654286226614	FLJ13197;KLF3	4	38666773
cg00033773	0.660273041326111	MORG1;C19orf56	19	12779366
cg00034039	0.0635428381631422	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.157401204916649	UBE2S	19	55919836
cg00037763	0.901101663323591	SETBP1	18	42281763
cg00037940	0.778784483354082	PIK3CB	3	138479285
cg00040861	0.016724243088254	LSM7;SPPL2B	19	2328391
cg00040873	0.0806189489858128	NDUFB10	16	2009157
cg00041575	0.295658025105206	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0553904305996274	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0520044211712608	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0329946663905615	CUL5	11	107879431
cg00047469	0.0129719451245901	POLE3;C9orf43	9	116172568
cg00049986	0.163756360574482	NA	NA	0
cg00050312	0.195480430820442	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0384397794296427	C10orf4	10	95462161
cg00053292	0.0173168008256745	TACO1	17	61678300
cg00053647	0.0793835902982542	C7orf28B	7	6866072
cg00054706	0.0170091008158964	C1D	2	68289972
cg00055233	0.443510874416115	RLN1	9	5339677
cg00056767	0.020561095077124	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
