Hybridization REF	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.353128343124858	ATP2A1	16	28890100
cg00002426	0.084904874520651	SLMAP	3	57743543
cg00003994	0.0691104182591463	MEOX2	7	15725862
cg00005847	0.554264880677409	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0190622430486008	PANX1	11	93862594
cg00008493	0.987774384516195	COX8C;KIAA1409	14	93813777
cg00008713	0.0138687423603904	IMPA2	18	11980953
cg00009407	0.0142702939740951	TTC8	14	89290921
cg00010193	0.512250701274355	NA	NA	0
cg00011459	0.939307918509493	TMEM186;PMM2	16	8890425
cg00012199	0.0138791896204186	ANG;RNASE4	14	21151024
cg00012386	0.0160780123043385	JMJD4;SNAP47	1	227922512
cg00012792	0.0312599378895205	MUTED	6	8064493
cg00013618	0.636067116846057		22	22380839
cg00014085	0.0137133046321423	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.166625318522265	QRFPR	4	122302007
cg00016968	0.362235711686459	RHOC	1	113250448
cg00019495	0.086018544141806	HOPX	4	57547525
cg00020533	0.799895366684558	TULP1	6	35480916
cg00021527	0.0146323988531027	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.700536448895756	CCDC88B	11	64108440
cg00024396	0.0299723011113393	ELOVL5	6	53214008
cg00024812	0.0194242038472361	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0146458058875499	MAP3K9	14	71275917
cg00025991	0.439481879785944	DIP2C	10	736625
cg00027083	0.535855563646044	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0767188309655861	CCNB1IP1	14	20801459
cg00029931	0.0151384938618681	RPL36A	X	100645741
cg00030047	0.216605191714469	RNF207	1	6268790
cg00031162	0.224429152811682	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00825790713450964	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0227183925132151	FLJ13197;KLF3	4	38666773
cg00033773	0.619515595702357	MORG1;C19orf56	19	12779366
cg00034039	0.107839306938668	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0916726795111748	UBE2S	19	55919836
cg00037763	0.821500154415685	SETBP1	18	42281763
cg00037940	0.817883827505474	PIK3CB	3	138479285
cg00040861	0.0117399491808364	LSM7;SPPL2B	19	2328391
cg00040873	0.0709967950955929	NDUFB10	16	2009157
cg00041575	0.306196152742441	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0440421667607353	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0380548090747701	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0255964813635551	CUL5	11	107879431
cg00047469	0.0413054866524062	POLE3;C9orf43	9	116172568
cg00049986	0.150313178151862	NA	NA	0
cg00050312	0.0379283715028532	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0275489055979853	C10orf4	10	95462161
cg00053292	0.0121770846703693	TACO1	17	61678300
cg00053647	0.0603999049640059	C7orf28B	7	6866072
cg00054706	0.0160484850667515	C1D	2	68289972
cg00055233	0.193627482873865	RLN1	9	5339677
cg00056767	0.0240266609361013	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.313450718849612	GLRA1	5	151304357
cg00059424	0.026962888170869	PES1	22	30988148
cg00059740	0.0101598022880809	C7orf49	7	134855689
cg00059930	0.785681831935199	RB1	13	48894382
cg00060762	0.0246872099267139	LEO1	15	52264133
cg00060882	0.083303336361891	EIF2S3	X	24072811
cg00061059	0.035957095551321	TECR	19	14640983
cg00061629	0.573861060869139	ALX4	11	44325258
cg00062776	0.985478170061911	TULP2	19	49402424
cg00063144	0.919637816571342	KRT31	17	39554055
cg00065385	0.955403404239966	ACTL7A	9	111623395
cg00065408	0.0293938558514262	CACNB3	12	49212475
cg00066153	0.816773038706343	ACRV1	11	125550744
cg00066816	0.0957506357790835	IL12B	5	158758353
cg00067471	0.0528658678862679	ATP5D	19	1241377
cg00069261	0.0374838039783765	CDR2	16	22386531
cg00071250	0.776894130088061	FASLG	1	172628263
cg00071998	0.0124719840532644	MSH5	6	31708121
cg00072216	0.0140634569143791	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.170430891009828	STRA6	15	74495354
cg00076645	0.0226359335158231	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.703799299657445	ASAP1	8	131414474
cg00078194	0.0126432346285297	MDK	11	46402949
cg00078867	0.730230457412683	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0242840358379117	ARFGAP3	22	43253521
cg00080012	0.0106871414248754	EED	11	85955689
cg00081935	0.0184378509887867	TSPAN9	12	3186906
cg00081975	0.0133842140562552	ABCC3	17	48712370
cg00083720	0.0100511696634355	NA	NA	0
cg00083937	0.334015927369599	MAPK8IP2	22	51039805
cg00084687	0.00953651261326266	GATAD1	7	92076896
cg00089071	0.018097238165961	PCGF2	17	36905809
cg00090147	0.134913505253697	GATA4	8	11562367
cg00091693	0.259224445070308	KRT20	17	39041602
cg00093177	0.809420010456947		17	37185495
cg00094319	0.813730769512645	PABPC3	13	25670530
cg00094851	0.0539855728700931	KIF3C	2	26205706
cg00095526	0.731203372675135	CACNA1S	1	201081686
cg00095674	0.0487022289683849	PLEKHO1	1	150122654
cg00096922	0.0193334687421551	DLX5	7	96654185
cg00097536	0.0104108971730891	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0118805935276268	PNPLA6	19	7599173
cg00099550	0.0360006009315896	NA	NA	0
cg00101227	0.529906866284674	MPZ	1	161280266
cg00103783	0.0103373944546159	MPDU1	17	7487249
cg00105253	0.0190639370545859	NUDT14	14	105647194
cg00105470	0.0196030191353791	C1orf35	1	228290868
cg00107187	0.0819651828390528	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.010899053240201	PGM2	4	37828500
cg00108454	0.173839225073389	C1QA	1	22963614
cg00109274	0.0468909289581302	DGKH	13	42623032
cg00112517	0.0834400184907337	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.075208661296143	CABP1	12	121078090
cg00115714	0.106185849513748	AMD1	6	111196112
cg00116234	0.0385525691857523	ADAMTSL1	9	18474243
cg00116838	0.0283599895702554	RTN2;FLJ40125	19	46001746
cg00117172	0.738355727870208	RUNX3	1	25255838
cg00119079	0.366442028174619	LAMP3	3	182880278
cg00121158	0.0123285694564926	KDM4C	9	6757826
cg00121640	0.0269057974542257	ASTN2	9	120176515
cg00121904	0.0395223746847201	MAOB	X	43741826
cg00123035	0.040095916127079	RFX5	1	151319538
cg00126034	0.0280366266187791	WNT3	17	44896162
cg00126657	0.551480686114293	SSX6	X	47967250
cg00126698	0.696304025618983	BTK	X	100640503
cg00128197	0.014448607805926	HSD17B10	X	53461455
cg00128560	0.963919598314395	TIGD7	16	3352013
cg00128654	0.0215074911571076	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0438173854348286	MKNK1	1	47070178
cg00129774	0.0134866389312184	CDK2;SILV	12	56360414
cg00131121	0.0119511193568791	POLR2J	7	102119710
cg00131557	0.933138415545459	DNAJC15	13	43596656
cg00132141	0.150990369254231	CTNNA3	10	69456307
cg00133909	0.0310484936317327	CD276	15	73977201
cg00134539	0.825804219220138	UBASH3A	21	43824071
cg00134787	0.440408967031767	MYH1	17	10419499
cg00135056	0.100712663915851	C3orf37	3	128997295
cg00135393	0.252273149198801	NA	NA	0
cg00136105	0.0155526397610609	GNPTAB	12	102224911
cg00136405	0.177288041635889	IL21	4	123542198
cg00136477	0.657157470972923	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.204774844419218	PMEPA1	20	56286697
cg00141162	0.590851277462937	HCLS1	3	121379777
cg00141550	0.811689682963568	NA	NA	0
cg00141845	0.157970372836567	UPRT	X	74493352
cg00143376	0.667045811747088	NMUR1	2	232394702
cg00143998	0.103954734344623	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.0412650789395815	GNPDA1	5	141393931
cg00145348	0.103608976430367	APEX2	X	55026862
cg00146096	0.0155296258048526	FANCF	11	22647309
cg00149659	0.0158355479564924	C3orf10	3	10157352
cg00149976	0.0154534001419247	MGLL	3	127541529
cg00151234	0.0415423338469323	PGK1	X	77359363
cg00151607	0.00856602049361677	TRAPPC2L;GALNS	16	88923507
cg00152644	0.879231580379294	SPRR2E	1	153068236
cg00155167	0.0213921801005258	VPS13B	8	100025831
cg00155485	0.0262968955548837	MED13L	12	116714600
cg00155609	0.0543794357159141	PRDX2	19	12912527
cg00156216	0.017281132323721	APLP2	11	129939849
cg00156744	0.0468644536006014	STK10	5	171615663
cg00158308	0.0500121107647634	OXGR1	13	97646341
cg00160914	0.051955351595804	DDX20;C1orf183	1	112299263
cg00162401	0.0330911931789918	GSTA4	6	52859823
cg00162643	0.0325717129907693	DDX58	9	32526492
cg00164041	0.106895370606691	NA	NA	0
cg00164898	0.0166094093558168	MAPK11	22	50709127
cg00165981	0.0331702857654155	COL4A3BP;POLK	5	74808039
cg00167504	0.0141546490982615	BLVRA	7	43798622
cg00168082	0.0394013484768991	ABL1	9	133589177
cg00168785	0.0171426199812265	WDSUB1	2	160142643
cg00168942	0.188925587568413	GJD4	10	35894430
cg00169548	0.130540948116022	NA	NA	0
cg00171126	0.0199943728807883	WRB	21	40752522
cg00171161	0.0453257272204763	NUDT9	4	88343636
cg00174500	0.675336043795192	CMTM5	14	23846479
cg00174901	0.122891962234454	PALM	19	709889
cg00176210	0.766622488857436	ANK1	8	41654967
cg00176879	0.989492051996931	VPS16;PTPRA	20	2843525
cg00177013	0.0386957410958219	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0130205222439868	PNPO	17	46018875
cg00177923	0.0136527170888058	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0530600051687713	UPF3B	X	118986947
cg00180012	0.041006237607584	LACE1	6	108615929
cg00180631	0.237295095980716	MTM1	X	149736640
cg00182461	0.0477982683982308	NA	NA	0
cg00183782	0.773675385495263	NA	NA	0
