Hybridization REF	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.462808235020502	ATP2A1	16	28890100
cg00002426	0.143399131639116	SLMAP	3	57743543
cg00003994	0.307522743306819	MEOX2	7	15725862
cg00005847	0.815241128242812	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0503330623391981	PANX1	11	93862594
cg00008493	0.988274633621776	COX8C;KIAA1409	14	93813777
cg00008713	0.0124176667696978	IMPA2	18	11980953
cg00009407	0.0100175765835938	TTC8	14	89290921
cg00010193	0.647058138358785	NA	NA	0
cg00011459	0.951393577098157	TMEM186;PMM2	16	8890425
cg00012199	0.015423027445586	ANG;RNASE4	14	21151024
cg00012386	0.0318378508924258	JMJD4;SNAP47	1	227922512
cg00012792	0.0264709134944336	MUTED	6	8064493
cg00013618	0.713284246549838		22	22380839
cg00014085	0.0175921464300765	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.0507866126062876	QRFPR	4	122302007
cg00016968	0.430632856898218	RHOC	1	113250448
cg00019495	0.0955358370739646	HOPX	4	57547525
cg00020533	0.931050474283144	TULP1	6	35480916
cg00021527	0.0346597962608629	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.750140229864226	CCDC88B	11	64108440
cg00024396	0.0166215252774363	ELOVL5	6	53214008
cg00024812	0.0239590800777068	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.017186353808055	MAP3K9	14	71275917
cg00025991	0.53026278987828	DIP2C	10	736625
cg00027083	0.0272054461602935	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0616939517221801	CCNB1IP1	14	20801459
cg00029931	0.391630519056019	RPL36A	X	100645741
cg00030047	0.283949094827449	RNF207	1	6268790
cg00031162	0.727752358151913	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0109177713898442	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.025812228716693	FLJ13197;KLF3	4	38666773
cg00033773	0.877275306906343	MORG1;C19orf56	19	12779366
cg00034039	0.0612808944486497	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0422894759004573	UBE2S	19	55919836
cg00037763	0.926799934893421	SETBP1	18	42281763
cg00037940	0.903537633159119	PIK3CB	3	138479285
cg00040861	0.0200849354657154	LSM7;SPPL2B	19	2328391
cg00040873	0.22484705338449	NDUFB10	16	2009157
cg00041575	0.73243882733881	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0131216375750984	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0221698131895507	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.030747411165891	CUL5	11	107879431
cg00047469	0.0138233002790109	POLE3;C9orf43	9	116172568
cg00049986	0.160248615714725	NA	NA	0
cg00050312	0.0137218287187297	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0297173075667499	C10orf4	10	95462161
cg00053292	0.0257275378296452	TACO1	17	61678300
cg00053647	0.0801724585959278	C7orf28B	7	6866072
cg00054706	0.0199710931711258	C1D	2	68289972
cg00055233	0.178880428101919	RLN1	9	5339677
cg00056767	0.0208021281297715	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.213410011534941	GLRA1	5	151304357
cg00059424	0.0285537875145878	PES1	22	30988148
cg00059740	0.0121186631565188	C7orf49	7	134855689
cg00059930	0.913791836682925	RB1	13	48894382
cg00060762	0.0259447399706997	LEO1	15	52264133
cg00060882	0.0724793824492629	EIF2S3	X	24072811
cg00061059	0.056678289533547	TECR	19	14640983
cg00061629	0.971354714173287	ALX4	11	44325258
cg00062776	0.990996345428698	TULP2	19	49402424
cg00063144	0.882115026265754	KRT31	17	39554055
cg00065385	0.964201167998613	ACTL7A	9	111623395
cg00065408	0.0261246656556614	CACNB3	12	49212475
cg00066153	0.891933330386004	ACRV1	11	125550744
cg00066816	0.0509871903254002	IL12B	5	158758353
cg00067471	0.0365581827275285	ATP5D	19	1241377
cg00069261	0.0166273074735915	CDR2	16	22386531
cg00071250	0.809912838811428	FASLG	1	172628263
cg00071998	0.033204168442367	MSH5	6	31708121
cg00072216	0.0159629638134743	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.233956079286286	STRA6	15	74495354
cg00076645	0.0203350289587652	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.725349330147735	ASAP1	8	131414474
cg00078194	0.0192059580969473	MDK	11	46402949
cg00078867	0.587951395509611	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0119798105279922	ARFGAP3	22	43253521
