Hybridization REF	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.478936673938606	ATP2A1	16	28890100
cg00002426	0.349588696110036	SLMAP	3	57743543
cg00003994	0.118312285419189	MEOX2	7	15725862
cg00005847	0.690542889569617	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0449899062970768	PANX1	11	93862594
cg00008493	0.988581395984073	COX8C;KIAA1409	14	93813777
cg00008713	0.0142547212928562	IMPA2	18	11980953
cg00009407	0.0106879847206725	TTC8	14	89290921
cg00010193	0.593642146076948	NA	NA	0
cg00011459	0.944008688533968	TMEM186;PMM2	16	8890425
cg00012199	0.0133063588182067	ANG;RNASE4	14	21151024
cg00012386	0.0208860308754831	JMJD4;SNAP47	1	227922512
cg00012792	0.0184814324418349	MUTED	6	8064493
cg00013618	0.79639311980869		22	22380839
cg00014085	0.015591471751601	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.448158379553334	QRFPR	4	122302007
cg00016968	0.594950491884766	RHOC	1	113250448
cg00019495	0.174176664819837	HOPX	4	57547525
cg00020533	0.840210260350265	TULP1	6	35480916
cg00021527	0.0144799976470452	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.767232922454123	CCDC88B	11	64108440
cg00024396	0.0165533289298497	ELOVL5	6	53214008
cg00024812	0.0209017114786461	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.01409522811312	MAP3K9	14	71275917
cg00025991	0.558261489251538	DIP2C	10	736625
cg00027083	0.674153953770164	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0564370979688244	CCNB1IP1	14	20801459
cg00029931	0.415300984346075	RPL36A	X	100645741
cg00030047	0.396591201068954	RNF207	1	6268790
cg00031162	0.639651730856055	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0132585932641139	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0838547208935067	FLJ13197;KLF3	4	38666773
cg00033773	0.553116444787885	MORG1;C19orf56	19	12779366
cg00034039	0.0602003035607487	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0929047944109825	UBE2S	19	55919836
cg00037763	0.932570335471705	SETBP1	18	42281763
cg00037940	0.942577081080724	PIK3CB	3	138479285
cg00040861	0.014930387549958	LSM7;SPPL2B	19	2328391
cg00040873	0.0971651400687912	NDUFB10	16	2009157
cg00041575	0.44436991543552	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.034278700263382	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0623575191615788	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0258983347782918	CUL5	11	107879431
cg00047469	0.0133413139095674	POLE3;C9orf43	9	116172568
cg00049986	0.163770298086548	NA	NA	0
cg00050312	0.0252602425579411	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0291188715774606	C10orf4	10	95462161
cg00053292	0.0287676276627136	TACO1	17	61678300
cg00053647	0.0615021238821587	C7orf28B	7	6866072
cg00054706	0.0151974245413387	C1D	2	68289972
cg00055233	0.454925558899435	RLN1	9	5339677
cg00056767	0.0200331382651527	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.492213835787016	GLRA1	5	151304357
cg00059424	0.0229209263886219	PES1	22	30988148
cg00059740	0.010558963234174	C7orf49	7	134855689
cg00059930	0.840038415217379	RB1	13	48894382
cg00060762	0.0189154283021083	LEO1	15	52264133
cg00060882	0.0801159082115268	EIF2S3	X	24072811
cg00061059	0.0397981172345841	TECR	19	14640983
cg00061629	0.876463739452124	ALX4	11	44325258
cg00062776	0.990711628936614	TULP2	19	49402424
cg00063144	0.933972870386241	KRT31	17	39554055
cg00065385	0.966699608536652	ACTL7A	9	111623395
cg00065408	0.0240148414700403	CACNB3	12	49212475
cg00066153	0.954391345417016	ACRV1	11	125550744
cg00066816	0.261970221258855	IL12B	5	158758353
cg00067471	0.04699711090536	ATP5D	19	1241377
cg00069261	0.0316336986858981	CDR2	16	22386531
cg00071250	0.608554406925115	FASLG	1	172628263
cg00071998	0.0299270966551525	MSH5	6	31708121
cg00072216	0.0144273877847865	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.711811383932897	STRA6	15	74495354
cg00076645	0.0195723717742126	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.791535299495478	ASAP1	8	131414474
cg00078194	0.0169252691451997	MDK	11	46402949
cg00078867	0.678843182772636	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0156453755724076	ARFGAP3	22	43253521
cg00080012	0.0111277250727562	EED	11	85955689
cg00081935	0.0272229877018452	TSPAN9	12	3186906
cg00081975	0.0680245945247163	ABCC3	17	48712370
cg00083720	0.0152923341510617	NA	NA	0
cg00083937	0.459117074142734	MAPK8IP2	22	51039805
cg00084687	0.0148361503837992	GATAD1	7	92076896
cg00089071	0.0138975309784374	PCGF2	17	36905809
cg00090147	0.549538309986167	GATA4	8	11562367
cg00091693	0.509817930238069	KRT20	17	39041602
cg00093177	0.942259029057434		17	37185495
cg00094319	0.877944054770636	PABPC3	13	25670530
cg00094851	0.105475278693024	KIF3C	2	26205706
cg00095526	0.805698796319051	CACNA1S	1	201081686
cg00095674	0.178725734729848	PLEKHO1	1	150122654
cg00096922	0.259587671441225	DLX5	7	96654185
cg00097536	0.0152903907173784	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0114773462141256	PNPLA6	19	7599173
cg00099550	0.0252835468819097	NA	NA	0
cg00101227	0.830848634860527	MPZ	1	161280266
cg00103783	0.0126744828381443	MPDU1	17	7487249
cg00105253	0.081887458865243	NUDT14	14	105647194
cg00105470	0.0216422325978439	C1orf35	1	228290868
cg00107187	0.478146972523285	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0126590245780253	PGM2	4	37828500
cg00108454	0.291488823551796	C1QA	1	22963614
cg00109274	0.0168458137133543	DGKH	13	42623032
cg00112517	0.425509719994202	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.324924966247027	CABP1	12	121078090
cg00115714	0.0315750661569625	AMD1	6	111196112
cg00116234	0.0320290550742093	ADAMTSL1	9	18474243
cg00116838	0.300930494750879	RTN2;FLJ40125	19	46001746
cg00117172	0.613060143015935	RUNX3	1	25255838
cg00119079	0.0419779369803127	LAMP3	3	182880278
cg00121158	0.0132100717211289	KDM4C	9	6757826
cg00121640	0.134247571533513	ASTN2	9	120176515
cg00121904	0.23390960128559	MAOB	X	43741826
cg00123035	0.0253024021394205	RFX5	1	151319538
cg00126034	0.0295771173794292	WNT3	17	44896162
cg00126657	0.375760345379135	SSX6	X	47967250
cg00126698	0.667909044239433	BTK	X	100640503
cg00128197	0.376366561429027	HSD17B10	X	53461455
cg00128560	0.949607975639235	TIGD7	16	3352013
cg00128654	0.0156432715873476	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0642737970933385	MKNK1	1	47070178
cg00129774	0.023229415516797	CDK2;SILV	12	56360414
cg00131121	0.025728330692559	POLR2J	7	102119710
cg00131557	0.947258045620563	DNAJC15	13	43596656
cg00132141	0.788602035104765	CTNNA3	10	69456307
cg00133909	0.0345062335436781	CD276	15	73977201
cg00134539	0.804063397595919	UBASH3A	21	43824071
cg00134787	0.523614742069	MYH1	17	10419499
cg00135056	0.127838275285347	C3orf37	3	128997295
cg00135393	0.228199192032233	NA	NA	0
cg00136105	0.0144077802754002	GNPTAB	12	102224911
cg00136405	0.230406183668959	IL21	4	123542198
cg00136477	0.703196653503907	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.807737668175927	PMEPA1	20	56286697
cg00141162	0.564119284521619	HCLS1	3	121379777
cg00141550	0.540795065237201	NA	NA	0
cg00141845	0.142694310529649	UPRT	X	74493352
cg00143376	0.670964219881515	NMUR1	2	232394702
cg00143998	0.0236350172557982	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.354802442345426	GNPDA1	5	141393931
cg00145348	0.606925583228161	APEX2	X	55026862
cg00146096	0.011140220929702	FANCF	11	22647309
cg00149659	0.0172989427908213	C3orf10	3	10157352
cg00149976	0.0181680495401642	MGLL	3	127541529
cg00151234	0.461076435761873	PGK1	X	77359363
cg00151607	0.0141457127691284	TRAPPC2L;GALNS	16	88923507
cg00152644	0.530719663739972	SPRR2E	1	153068236
cg00155167	0.0208161406900397	VPS13B	8	100025831
cg00155485	0.0219996221314913	MED13L	12	116714600
cg00155609	0.0158559704168188	PRDX2	19	12912527
cg00156216	0.0168285203743607	APLP2	11	129939849
cg00156744	0.0198750483454677	STK10	5	171615663
cg00158308	0.147204879990757	OXGR1	13	97646341
cg00160914	0.26482672992553	DDX20;C1orf183	1	112299263
cg00162401	0.504461748115465	GSTA4	6	52859823
cg00162643	0.0213849587427717	DDX58	9	32526492
cg00164041	0.0235081159980038	NA	NA	0
cg00164898	0.0200508416015993	MAPK11	22	50709127
cg00165981	0.0312881024292344	COL4A3BP;POLK	5	74808039
cg00167504	0.0195986007590099	BLVRA	7	43798622
cg00168082	0.0361847915090689	ABL1	9	133589177
cg00168785	0.187949292575674	WDSUB1	2	160142643
cg00168942	0.493071620455752	GJD4	10	35894430
cg00169548	0.202952166221949	NA	NA	0
cg00171126	0.0210880744336635	WRB	21	40752522
cg00171161	0.0285850174062897	NUDT9	4	88343636
cg00174500	0.77169784842533	CMTM5	14	23846479
cg00174901	0.594498832553587	PALM	19	709889
cg00176210	0.818070446455838	ANK1	8	41654967
cg00176879	0.992238274748795	VPS16;PTPRA	20	2843525
cg00177013	0.0818680710963544	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0330132971189358	PNPO	17	46018875
cg00177923	0.0148578737400643	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.155855548090724	UPF3B	X	118986947
cg00180012	0.0199261349809193	LACE1	6	108615929
cg00180631	0.585682275454954	MTM1	X	149736640
cg00182461	0.045787190363725	NA	NA	0
cg00183782	0.89993475951906	NA	NA	0
cg00183916	0.0301418075031302	HS3ST3B1	17	14204936
cg00184884	0.0173722736147177	SFI1	22	31892343
cg00184893	0.0203737601048138	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0275315679454731	LRDD	11	804954
cg00186141	0.0134224680667133	PODXL	7	131241768
cg00186701	0.576218527990272	TSPYL5	8	98290510
cg00186954	0.878662569724035	ST5;C11orf17	11	8933980
cg00187380	0.064848588143901	HOXC4;HOXC5	12	54427384
cg00187686	0.214501648906741	TCN1	11	59634218
cg00188348	0.622047421420963	NA	NA	0
cg00191052	0.730995606819569	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0192499446141104	FAM53C	5	137673669
cg00197641	0.0232507565040659	MRPL52	14	23299461
cg00199549	0.984575590755805	MCM5	22	35795374
cg00200063	0.0159450977749366	USP32	17	58469941
cg00201234	0.480365165903115	FBLN2	3	13590968
cg00202702	0.0173867039940115	C11orf70	11	101918157
cg00202711	0.77239208728973	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0255565797437499	RP11-529I10.4;POLL	10	103348143
cg00207534	0.022053474244558	KIAA0174	16	71929512
cg00208830	0.76525181242962	LAMC2	1	183154778
cg00208967	0.143120289451205	OLFM2	19	10047924
cg00209066	0.889225922738377	BRD1	22	50218923
cg00209951	0.0638404120716403	DENND2C	1	115212834
cg00210842	0.0465399415698419	APAF1;IKBIP	12	99039578
cg00211661	0.0209924493467177	ARAP1	11	72433619
cg00212549	0.0549476422077909	NA	NA	0
cg00213044	0.713480425367301	KRT6A	12	52886438
cg00213331	0.953052587305267	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0154158903310197	NA	NA	0
cg00214794	0.664842559415653	NA	NA	0
cg00214855	0.142352322817649	CCDC90A	6	13813947
cg00215066	0.973828692061563	MYO9B	19	17212316
cg00216361	0.0524348086717058	GAP43	3	115342527
cg00216758	0.0326890425378982	RASSF7;C11orf35	11	560589
cg00217795	0.34609685902738	DIO2	14	80677688
cg00221494	0.587346127026818	FARP1	13	98794593
cg00223186	0.0180668566860087	ACBD6	1	180472200
cg00223950	0.0212717271066659	UBR4	1	19536222
cg00224234	0.0114123456954762	GLOD4;RNMTL1	17	685693
cg00224508	0.0200086694792189	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.920504418386792	FGD2	6	36972027
cg00228799	0.013518056608614	ENDOG	9	131580591
cg00229387	0.120535495545765	TJAP1	6	43445942
cg00230271	0.0306184777412984	TBCK;AIMP1	4	107237183
cg00230368	0.0228473431978409	IGF2R	6	160389833
cg00230502	0.122256291029367	CCDC60	12	119772381
cg00230685	0.537448036822074	SCML1	X	17755839
cg00231140	0.583331578763461	ACAA2;SCARNA17	18	47339702
cg00231644	0.691034856270332	TUBB2A	6	3158512
cg00231920	0.0263871915022166	VPS16;FAM113A	20	2821308
cg00233307	0.331969971553663	MAP4K1;EIF3K	19	39109076
cg00234616	0.510895576365161	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.106945843828301	RARA	17	38465489
cg00237010	0.256814064367007	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.945872571861496	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0812755874201783	TTC21A;GORASP1	3	39148342
cg00240312	0.0455757208138682	NA	NA	0
cg00240432	0.104619557569306	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0149067899464898	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.208472370289878	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0366542793212703	CR2	1	207628182
cg00250430	0.782281663943762	DMRT2	9	1051579
cg00253200	0.0183886617816694	C3orf59	3	192636074
cg00256074	0.934370375057293	MYLPF	16	30386150
cg00256166	0.0358355355587763	KLHL25	15	86338428
cg00256281	0.0121407534352316	PMM1	22	41985642
cg00259755	0.058176037292024	PWWP2B	10	134209763
cg00260778	0.328727103443127	NA	NA	0
cg00261552	0.0253314142252607	CREBL2	12	12764894
cg00261781	0.0196297738301863	MATN3	2	20212517
cg00262415	0.0188611063950148	PUSL1;ACAP3	1	1242732
cg00263723	0.0164384208444622	NA	NA	0
cg00263760	0.265008251336328	VAX1	10	118897366
cg00265415	0.0102274530609336	B3GALNT2	1	235667507
cg00265490	0.0341370957247522	MTDH	8	98655845
cg00268009	0.0134850826026337	ADH5	4	100010211
cg00268338	0.0125465955487326	HECTD2;LOC100188947	10	93169495
cg00269115	0.0153305783764196	C1orf213;ZNF436	1	23695530
cg00269932	0.70278794537013	NA	NA	0
cg00273068	0.706950773458581	EMILIN3	20	39995747
cg00273124	0.778135419883921	NHP2	5	177581512
cg00274399	0.0307650721628177	FGF9	13	22245420
cg00275232	0.0216327375275636	ZNF296	19	45579541
cg00276797	0.0165976264006082	SLK	10	105726614
cg00278366	0.568700098723135	RAD9B;VPS29	12	110940287
cg00279797	0.341947105736964	AMMECR1	X	109561918
cg00280814	0.898751076156943	ZDHHC8P	22	23745389
cg00280894	0.312122423020947	NA	NA	0
cg00282347	0.155182528248674	CHD5	1	6241040
cg00282683	0.0123262905713342	UBE3C	7	156931995
cg00283535	0.885671680556932	ANXA13	8	124749564
cg00288562	0.0248802131624768	TRA2A	7	23571645
cg00290028	0.0151434535536077	RFXAP	13	37393125
cg00290506	0.134665424280169	CNIH3	1	224804226
cg00291877	0.0336271765680136	SNRPA1	15	101835933
cg00292662	0.0193408192840047	LGALS1	22	38071168
cg00292971	0.931699870218945	FAM131B	7	143060536
cg00293409	0.0325076324961357	LRRC33	3	196366669
cg00294382	0.59447355070197	IL23A	12	56732721
cg00295206	0.0171315713140787	RAB7A	3	128444813
cg00295325	0.816617483116257	ABCB11	2	169887932
cg00296685	0.0282108127806187	NA	NA	0
cg00297584	0.0991233234201067	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.889918286671693	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0112494434200136	PPP3CA	4	102268125
cg00303548	0.02916525200407	HS6ST3	13	96742413
cg00304278	0.0468219654830822	NA	NA	0
cg00307685	0.946805210549404	BRDT	1	92415524
cg00308133	0.0113327057236118	GAMT	19	1401118
cg00308665	0.42031364421761	HTR2A	13	47469654
cg00309056	0.0177449005571301	STARD3NL	7	38218112
cg00309204	0.0239449478632616	C17orf61	17	7307432
cg00311768	0.408186699396191	TSTA3	8	144698857
cg00312919	0.01312662680357	STARD3NL	7	38217710
cg00314943	0.899838333747402	ALPPL2	2	233270750
cg00315936	0.0491778390737588	SND1	7	127292739
cg00317680	0.0950408181897769	MTERFD1;PTDSS1	8	97274070
cg00318573	0.227148186309301	CHRNA4	20	61993118
cg00318865	0.0171450804254228	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00983361562302027	PKMYT1	16	3030447
cg00320243	0.0156784142482098	RAB3A	19	18314691
cg00321065	0.0197936497422409	RLF	1	40627063
cg00321478	0.736058443701265	CRB1	1	197238398
cg00323915	0.64998667768176	GIMAP4	7	150264987
cg00324733	0.0174474733238937	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.111767311288423	DLAT	11	111896498
cg00327483	0.956695788608749	CASQ1	1	160160587
cg00328227	0.252336987992044	C1orf59	1	109204325
cg00331237	0.218989098426388	CSRP2	12	77273319
cg00331433	0.0170508911087796	SYAP1	X	16737800
cg00332153	0.764805427202234	BANK1	4	102712010
cg00332745	0.0194159737441285	NOL3	16	67208247
cg00333226	0.61066109179574	VWC2	7	49813763
cg00333528	0.612590209839551	GABRR1	6	89927485
cg00334507	0.557729673500558	PRRT2	16	29824599
cg00335286	0.789238889433632	MC2R	18	13916355
cg00336605	0.0219193251036489	NR1H2	19	50879437
cg00338702	0.0339076772857418	CHFR	12	133463694
cg00338893	0.0200770453306896	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.261407824829601	GARNL3	9	130027020
cg00343092	0.0137692400302494	TSPO	22	43547974
cg00344358	0.93322982193832	GDF11	12	56135693
cg00344372	0.812591626370325	HGFAC	4	3443625
cg00344709	0.83686068100154	POTED	21	14982225
cg00346145	0.0297665715393912	RPL34;LOC285456	4	109541559
cg00347729	0.322303752693792	MMP10	11	102651753
cg00347904	0.682815595696798	SCUBE3	6	35182508
cg00350296	0.660969819330791	CD248	11	66084841
cg00350478	0.674773340815927	FRMD1	6	168480013
cg00350702	0.0159952372965814	ERGIC3	20	34129927
cg00351011	0.0175268887660058	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.716776185299884	ZIM2	19	57306738
cg00354572	0.441014217885116	ACSS3	12	81471419
cg00355802	0.0230023087217129	DUSP4	8	29208983
cg00359325	0.0415895022889149	USP4	3	49377419
cg00359973	0.499573458795433	RIBC1;SMC1A	X	53449900
cg00363813	0.690351621367541	IFFO1	12	6664872
cg00364344	0.016158320434068	NA	NA	0
cg00364814	0.940115531823262	R3HDM2	12	57691455
cg00365193	0.307694515881662	NA	NA	0
cg00367281	0.83221380292486	CHRNB3	8	42552470
cg00367438	0.031700317744077	TMUB1	7	150780797
cg00368022	0.014182617481587	C5orf22;RNASEN	5	31532653
cg00368415	0.0114543807625054	SNX27	1	151584398
cg00371195	0.96505901490203	F2	11	46740481
cg00374717	0.937024288922851	ARSG	17	66303145
cg00375964	0.019681209312779	ABCE1;ANAPC10	4	146019130
cg00376639	0.0917504620044492	ZNF581	19	56155151
cg00380464	0.0229294398604219	LTV1	6	144164650
cg00381076	0.0315420031880511	C18orf54	18	51884797
cg00382515	0.0117160437631308	MRPL44	2	224822229
cg00382991	0.0412247688813499	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.59465871127869	TGFBI	5	135364970
cg00387170	0.0244756777643033	FOXP4	6	41514002
cg00392257	0.262225257699846	ISG20L2	1	156696747
cg00393585	0.0467784351846085	C4orf39;TRIM61	4	165878091
cg00394658	0.699651642489285	PTPRJ	11	48001669
cg00396163	0.016385143200805	DNAH6	2	84743584
cg00396894	0.75332652459266	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0217764014075904	PPOX	1	161136321
