Hybridization REF	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.421061498853298	ATP2A1	16	28890100
cg00002426	0.0693203364393342	SLMAP	3	57743543
cg00003994	0.0388433986806577	MEOX2	7	15725862
cg00005847	0.845149349699095	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0264050681306293	PANX1	11	93862594
cg00008493	0.989350600467402	COX8C;KIAA1409	14	93813777
cg00008713	0.0108078799103249	IMPA2	18	11980953
cg00009407	0.00763572186672013	TTC8	14	89290921
cg00010193	0.61198189224026	NA	NA	0
cg00011459	0.545681452197292	TMEM186;PMM2	16	8890425
cg00012199	0.014165093509156	ANG;RNASE4	14	21151024
cg00012386	0.0162716749516193	JMJD4;SNAP47	1	227922512
cg00012792	0.0234148582633657	MUTED	6	8064493
cg00013618	0.757629246722991		22	22380839
cg00014085	0.0178608914422757	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.161684706259071	QRFPR	4	122302007
cg00016968	0.421846425923393	RHOC	1	113250448
cg00019495	0.0828606998742725	HOPX	4	57547525
cg00020533	0.920783514690503	TULP1	6	35480916
cg00021527	0.020064041144628	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.748178732123716	CCDC88B	11	64108440
cg00024396	0.0203107836179616	ELOVL5	6	53214008
cg00024812	0.0172853823845711	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0155093563255009	MAP3K9	14	71275917
cg00025991	0.432333793924859	DIP2C	10	736625
cg00027083	0.0512329786791967	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0756701937728461	CCNB1IP1	14	20801459
cg00029931	0.459816961343026	RPL36A	X	100645741
cg00030047	0.156169227328737	RNF207	1	6268790
cg00031162	0.498278594829479	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0121847346895405	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0292844972045606	FLJ13197;KLF3	4	38666773
cg00033773	0.427974549782667	MORG1;C19orf56	19	12779366
cg00034039	0.0451490415846259	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.029240593699689	UBE2S	19	55919836
