Hybridization REF	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.33844905851283	ATP2A1	16	28890100
cg00002426	0.267467930135669	SLMAP	3	57743543
cg00003994	0.556654739165644	MEOX2	7	15725862
cg00005847	0.744877273347708	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0436177892565777	PANX1	11	93862594
cg00008493	0.986017611267387	COX8C;KIAA1409	14	93813777
cg00008713	0.0130432320705189	IMPA2	18	11980953
cg00009407	0.0127173441528846	TTC8	14	89290921
cg00010193	0.681624496418134	NA	NA	0
cg00011459	0.906465725550045	TMEM186;PMM2	16	8890425
cg00012199	0.0143247470350011	ANG;RNASE4	14	21151024
cg00012386	0.0200319168593708	JMJD4;SNAP47	1	227922512
cg00012792	0.0245364041335625	MUTED	6	8064493
cg00013618	0.840472618549698		22	22380839
cg00014085	0.0197701876584327	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.551124722718027	QRFPR	4	122302007
cg00016968	0.551553547565239	RHOC	1	113250448
cg00019495	0.224653253282073	HOPX	4	57547525
cg00020533	0.835142830644531	TULP1	6	35480916
cg00021527	0.0116206983222047	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.633812410226066	CCDC88B	11	64108440
cg00024396	0.0229752301226395	ELOVL5	6	53214008
cg00024812	0.0206919040995266	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0188881582396835	MAP3K9	14	71275917
cg00025991	0.609968486561792	DIP2C	10	736625
cg00027083	0.217526059365066	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.084900483309703	CCNB1IP1	14	20801459
cg00029931	0.209688309243043	RPL36A	X	100645741
cg00030047	0.26471406283601	RNF207	1	6268790
cg00031162	0.531051118443424	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0143743431436685	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0409247761396199	FLJ13197;KLF3	4	38666773
cg00033773	0.467702175213341	MORG1;C19orf56	19	12779366
cg00034039	0.0529544629617904	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.035714496309563	UBE2S	19	55919836
cg00037763	0.916731049822424	SETBP1	18	42281763
cg00037940	0.730400641932252	PIK3CB	3	138479285
cg00040861	0.0206264168362783	LSM7;SPPL2B	19	2328391
cg00040873	0.0798778350219089	NDUFB10	16	2009157
cg00041575	0.542594111255123	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0224527617300129	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0406290120177033	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0265418891094541	CUL5	11	107879431
cg00047469	0.0182287896672438	POLE3;C9orf43	9	116172568
cg00049986	0.179084621224627	NA	NA	0
cg00050312	0.0148359164020904	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0324958958942073	C10orf4	10	95462161
cg00053292	0.0182736198466342	TACO1	17	61678300
cg00053647	0.0630788280184568	C7orf28B	7	6866072
cg00054706	0.0168160758318891	C1D	2	68289972
cg00055233	0.25027964061634	RLN1	9	5339677
cg00056767	0.0184949868007306	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.222766298264717	GLRA1	5	151304357
cg00059424	0.0268532897055822	PES1	22	30988148
cg00059740	0.0131257761490435	C7orf49	7	134855689
cg00059930	0.872440940960401	RB1	13	48894382
cg00060762	0.0213938268787138	LEO1	15	52264133
cg00060882	0.109478134310075	EIF2S3	X	24072811
cg00061059	0.0655090791897002	TECR	19	14640983
cg00061629	0.873942362133665	ALX4	11	44325258
cg00062776	0.987007483121998	TULP2	19	49402424
cg00063144	0.928642322385067	KRT31	17	39554055
cg00065385	0.965954151991143	ACTL7A	9	111623395
cg00065408	0.0223726766038195	CACNB3	12	49212475
cg00066153	0.729327150393068	ACRV1	11	125550744
cg00066816	0.112556698817259	IL12B	5	158758353
cg00067471	0.0376414190309678	ATP5D	19	1241377
cg00069261	0.0239453123679489	CDR2	16	22386531
cg00071250	0.724546908882701	FASLG	1	172628263
cg00071998	0.0339203311999663	MSH5	6	31708121
cg00072216	0.0139789525043831	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.570877371138948	STRA6	15	74495354
cg00076645	0.0205043674172712	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.604326701499226	ASAP1	8	131414474
