Hybridization REF	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.57457801662285	ATP2A1	16	28890100
cg00002426	0.209485617987693	SLMAP	3	57743543
cg00003994	0.0381908684794157	MEOX2	7	15725862
cg00005847	0.856500914796043	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0427184279080207	PANX1	11	93862594
cg00008493	0.986613077091903	COX8C;KIAA1409	14	93813777
cg00008713	0.01547376395619	IMPA2	18	11980953
cg00009407	0.0122014700234998	TTC8	14	89290921
cg00010193	0.572226722974637	NA	NA	0
cg00011459	0.949239504810778	TMEM186;PMM2	16	8890425
cg00012199	0.0174356422889177	ANG;RNASE4	14	21151024
cg00012386	0.030016232392251	JMJD4;SNAP47	1	227922512
cg00012792	0.0598999953526926	MUTED	6	8064493
cg00013618	0.890422323740152		22	22380839
cg00014085	0.0165785481405599	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.396288514246789	QRFPR	4	122302007
cg00016968	0.512872540554052	RHOC	1	113250448
cg00019495	0.15506552562136	HOPX	4	57547525
cg00020533	0.868955100396585	TULP1	6	35480916
cg00021527	0.0127882008933894	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.761475744545799	CCDC88B	11	64108440
cg00024396	0.0246806277585112	ELOVL5	6	53214008
cg00024812	0.0205434569311184	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0147509174996019	MAP3K9	14	71275917
cg00025991	0.553755078967791	DIP2C	10	736625
cg00027083	0.137216276165022	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.091671004515657	CCNB1IP1	14	20801459
cg00029931	0.408725061616707	RPL36A	X	100645741
cg00030047	0.839789092362769	RNF207	1	6268790
cg00031162	0.62341800585719	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0131478600278726	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0216970680156239	FLJ13197;KLF3	4	38666773
cg00033773	0.696920122909866	MORG1;C19orf56	19	12779366
cg00034039	0.0587859780898319	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0550759706443155	UBE2S	19	55919836
cg00037763	0.957125824476955	SETBP1	18	42281763
cg00037940	0.932977494039919	PIK3CB	3	138479285
cg00040861	0.0140013298892073	LSM7;SPPL2B	19	2328391
