"","seqnames","start","end","width","strand","probeID","Gene_Symbol","mean.Primary.Tumor","mean.Solid.Tissue.Normal","mean.Primary.Tumor.minus.mean.Solid.Tissue.Normal","p.value.Primary.Tumor.Solid.Tissue.Normal","p.value.adj.Primary.Tumor.Solid.Tissue.Normal","status"
"cg00015770","chr4",122302007,122302007,1,"*","cg00015770","QRFPR",0.318298490400379,0.0827785581445869,0.235519932255793,2.06533367301369e-10,2.7565108009079e-09,"Hypermethylated in Primary Tumor"
"cg00019495","chr4",57547525,57547525,1,"*","cg00019495","HOPX",0.145241142565602,0.366814607866966,-0.221573465301364,4.67379739367496e-15,6.33222398309195e-13,"Hypomethylated in Primary Tumor"
"cg00027083","chr18",5543801,5543801,1,"*","cg00027083","EPB41L3",0.308804581846022,0.0815883722713653,0.227216209574657,1.44702739170321e-06,5.7617674280102e-06,"Hypermethylated in Primary Tumor"
"cg00090147","chr8",11562367,11562367,1,"*","cg00090147","GATA4",0.30476711607869,0.0960453842743155,0.208721731804375,3.89303816726626e-06,1.38841628732534e-05,"Hypermethylated in Primary Tumor"
"cg00094319","chr13",25670530,25670530,1,"*","cg00094319","PABPC3",0.775058514407388,0.574575535382344,0.200482979025044,6.01740870673887e-12,1.42851634092856e-10,"Hypermethylated in Primary Tumor"
"cg00107187","chr14",105070998,105070998,1,"*","cg00107187","TMEM179",0.364706038192193,0.149547703096322,0.215158335095871,9.7631529283409e-08,5.30137556815117e-07,"Hypermethylated in Primary Tumor"
"cg00117172","chr1",25255838,25255838,1,"*","cg00117172","RUNX3",0.438467866032987,0.115518413174903,0.322949452858084,3.4116549136438e-07,1.59694937771621e-06,"Hypermethylated in Primary Tumor"
"cg00136405","chr4",123542198,123542198,1,"*","cg00136405","IL21",0.261571113714088,0.479870491325456,-0.218299377611368,9.21476273908947e-10,9.71907255378964e-09,"Hypomethylated in Primary Tumor"
"cg00152644","chr1",153068236,153068236,1,"*","cg00152644","SPRR2E",0.723057615747259,0.923190766312681,-0.200133150565422,7.82368716476419e-05,0.000208320349999967,"Hypomethylated in Primary Tumor"
"cg00168942","chr10",35894430,35894430,1,"*","cg00168942","GJD4",0.485620219838217,0.705360579402908,-0.219740359564691,2.484858025731e-10,3.19164004912734e-09,"Hypomethylated in Primary Tumor"
"cg00174500","chr14",23846479,23846479,1,"*","cg00174500","CMTM5",0.681745878767425,0.291931351145235,0.389814527622189,2.17065337785705e-14,1.72800883214634e-12,"Hypermethylated in Primary Tumor"
"cg00187686","chr11",59634218,59634218,1,"*","cg00187686","TCN1",0.302309409115485,0.640617549700476,-0.338308140584991,1.7360536279766e-12,5.2218360727216e-11,"Hypomethylated in Primary Tumor"
"cg00202711","chrX",113818410,113818410,1,"*","cg00202711","HTR2C",0.437688879974905,0.0998212749361126,0.337867605038792,3.02668391919206e-10,3.79244505091645e-09,"Hypermethylated in Primary Tumor"
"cg00208967","chr19",10047924,10047924,1,"*","cg00208967","OLFM2",0.322695884621309,0.0953686536594471,0.227327230961862,2.2367729370184e-07,1.09930753704379e-06,"Hypermethylated in Primary Tumor"
"cg00233307","chr19",39109076,39109076,1,"*","cg00233307","MAP4K1;EIF3K",0.24777437027755,0.0460618166495058,0.201712553628044,0.0109595765726376,0.0185645338800717,"Hypermethylated in Primary Tumor"
"cg00283535","chr8",124749564,124749564,1,"*","cg00283535","ANXA13",0.84282076366505,0.524621092142275,0.318199671522775,3.80482517475265e-16,1.45286281969496e-13,"Hypermethylated in Primary Tumor"
"cg00294382","chr12",56732721,56732721,1,"*","cg00294382","IL23A",0.482294862998612,0.178358786262491,0.30393607673612,1.85756185879139e-10,2.52406580921057e-09,"Hypermethylated in Primary Tumor"
"cg00318573","chr20",61993118,61993118,1,"*","cg00318573","CHRNA4",0.363004853417675,0.138187816478257,0.224817036939418,3.23881203412361e-09,2.82599520978973e-08,"Hypermethylated in Primary Tumor"
"cg00332153","chr4",102712010,102712010,1,"*","cg00332153","BANK1",0.752073430316683,0.549878137325265,0.202195292991417,4.78802862314988e-13,1.87599124958163e-11,"Hypermethylated in Primary Tumor"
