Hybridization REF	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.302127831087108	ATP2A1	16	28890100
cg00002426	0.32405574708985	SLMAP	3	57743543
cg00003994	0.0334601440772589	MEOX2	7	15725862
cg00005847	0.771314461657603	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0534328764938221	PANX1	11	93862594
cg00008493	0.98999882968095	COX8C;KIAA1409	14	93813777
cg00008713	0.0158295904296266	IMPA2	18	11980953
cg00009407	0.0117564427154688	TTC8	14	89290921
cg00010193	0.620653225267462	NA	NA	0
cg00011459	0.760223673288994	TMEM186;PMM2	16	8890425
cg00012199	0.0122031795837055	ANG;RNASE4	14	21151024
cg00012386	0.0265337402584986	JMJD4;SNAP47	1	227922512
cg00012792	0.0194366398181909	MUTED	6	8064493
cg00013618	0.781223276757928		22	22380839
cg00014085	0.0123144186363841	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.135446003599527	QRFPR	4	122302007
cg00016968	0.510137494544748	RHOC	1	113250448
cg00019495	0.359802908736176	HOPX	4	57547525
cg00020533	0.918586071201718	TULP1	6	35480916
cg00021527	0.0136966791423499	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.709821509325987	CCDC88B	11	64108440
cg00024396	0.0147691242866827	ELOVL5	6	53214008
cg00024812	0.0204431833020341	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0156391074596233	MAP3K9	14	71275917
cg00025991	0.467835069475848	DIP2C	10	736625
cg00027083	0.213530808102687	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0602310196636192	CCNB1IP1	14	20801459
cg00029931	0.494702935749725	RPL36A	X	100645741
cg00030047	0.399314038730052	RNF207	1	6268790
cg00031162	0.553023376788814	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0126037599938806	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0260738113298691	FLJ13197;KLF3	4	38666773
cg00033773	0.616216501431043	MORG1;C19orf56	19	12779366
cg00034039	0.0514480994656828	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0697675790072353	UBE2S	19	55919836
cg00037763	0.933342680360447	SETBP1	18	42281763
cg00037940	0.817920171658693	PIK3CB	3	138479285
cg00040861	0.0136405407436964	LSM7;SPPL2B	19	2328391
cg00040873	0.119616022160393	NDUFB10	16	2009157
cg00041575	0.499543632917613	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.338163922779148	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0306976648217076	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0222726182095533	CUL5	11	107879431
cg00047469	0.0134352226712127	POLE3;C9orf43	9	116172568
cg00049986	0.196285404688206	NA	NA	0
cg00050312	0.0123688746387809	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0366916019309833	C10orf4	10	95462161
cg00053292	0.0250528446725626	TACO1	17	61678300
cg00053647	0.0702773937007048	C7orf28B	7	6866072
cg00054706	0.0135102252535531	C1D	2	68289972
cg00055233	0.412172589808792	RLN1	9	5339677
cg00056767	0.0141680912910278	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.247184675729814	GLRA1	5	151304357
cg00059424	0.0226556059974035	PES1	22	30988148
cg00059740	0.0132271062385854	C7orf49	7	134855689
cg00059930	0.854027353303033	RB1	13	48894382
cg00060762	0.0255699923928563	LEO1	15	52264133
cg00060882	0.577519621592332	EIF2S3	X	24072811
cg00061059	0.0542055682391062	TECR	19	14640983
cg00061629	0.911544531867235	ALX4	11	44325258
cg00062776	0.992029208659562	TULP2	19	49402424
cg00063144	0.922341830687807	KRT31	17	39554055
cg00065385	0.96878278379667	ACTL7A	9	111623395
cg00065408	0.0224801800496732	CACNB3	12	49212475
cg00066153	0.876276506098165	ACRV1	11	125550744
cg00066816	0.130088002431784	IL12B	5	158758353
cg00067471	0.0901076433976532	ATP5D	19	1241377
cg00069261	0.0195777582077041	CDR2	16	22386531
cg00071250	0.712937776194633	FASLG	1	172628263
