Hybridization REF	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.416222881386845	ATP2A1	16	28890100
cg00002426	0.221709245421782	SLMAP	3	57743543
cg00003994	0.0846405541266746	MEOX2	7	15725862
cg00005847	0.48331944785561	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.134725189028177	PANX1	11	93862594
cg00008493	0.990590463840453	COX8C;KIAA1409	14	93813777
cg00008713	0.0115484781423487	IMPA2	18	11980953
cg00009407	0.0113039941046023	TTC8	14	89290921
cg00010193	0.566319744855553	NA	NA	0
cg00011459	0.927463572423519	TMEM186;PMM2	16	8890425
cg00012199	0.0143097439600538	ANG;RNASE4	14	21151024
cg00012386	0.0368397624292692	JMJD4;SNAP47	1	227922512
cg00012792	0.0619902787977709	MUTED	6	8064493
cg00013618	0.770358734623926		22	22380839
cg00014085	0.0278138557225427	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.0671428694621772	QRFPR	4	122302007
cg00016968	0.621723240193091	RHOC	1	113250448
cg00019495	0.126373877692573	HOPX	4	57547525
cg00020533	0.861132553494988	TULP1	6	35480916
cg00021527	0.0277481542226837	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.737717261105625	CCDC88B	11	64108440
cg00024396	0.0154785451641678	ELOVL5	6	53214008
cg00024812	0.0183381843263001	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.00919782857737405	MAP3K9	14	71275917
cg00025991	0.472598603573048	DIP2C	10	736625
cg00027083	0.0881413370191053	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0627155314194534	CCNB1IP1	14	20801459
cg00029931	0.132799418680362	RPL36A	X	100645741
cg00030047	0.334706423084027	RNF207	1	6268790
cg00031162	0.661371101486241	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0088155214805153	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0586751542627821	FLJ13197;KLF3	4	38666773
cg00033773	0.928613410623115	MORG1;C19orf56	19	12779366
cg00034039	0.141381515553211	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0602292519776263	UBE2S	19	55919836
cg00037763	0.948149685252384	SETBP1	18	42281763
