Hybridization REF	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05
Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.13724537309159	ATP2A1	16	28890100
cg00002426	0.0474260780542176	SLMAP	3	57743543
cg00003994	0.0319953599773615	MEOX2	7	15725862
cg00005847	0.92904712368163	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0698182701384226	PANX1	11	93862594
cg00008493	0.986936981310449	COX8C;KIAA1409	14	93813777
cg00008713	0.0287518356362482	IMPA2	18	11980953
cg00009407	0.00847658666500384	TTC8	14	89290921
cg00010193	0.552901623682698	NA	NA	0
cg00011459	0.872005565256637	TMEM186;PMM2	16	8890425
cg00012199	0.0132142049721441	ANG;RNASE4	14	21151024
cg00012386	0.042514551397065	JMJD4;SNAP47	1	227922512
cg00012792	0.0416935369424801	MUTED	6	8064493
cg00013618	0.872644710743285		22	22380839
cg00014085	0.0213778353386475	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.841397259381398	QRFPR	4	122302007
cg00016968	0.313899499668469	RHOC	1	113250448
cg00019495	0.0968083289324452	HOPX	4	57547525
cg00020533	0.96172541212026	TULP1	6	35480916
cg00021527	0.0426686390073416	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.839199189798059	CCDC88B	11	64108440
cg00024396	0.0247064335607293	ELOVL5	6	53214008
cg00024812	0.0201134729098831	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0123096672141371	MAP3K9	14	71275917
cg00025991	0.617990085949317	DIP2C	10	736625
cg00027083	0.813246785536474	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0501085247152435	CCNB1IP1	14	20801459
cg00029931	0.179656101113827	RPL36A	X	100645741
cg00030047	0.204025140629623	RNF207	1	6268790
cg00031162	0.742811183323977	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00871002618436302	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0223933287694149	FLJ13197;KLF3	4	38666773
cg00033773	0.778817178893721	MORG1;C19orf56	19	12779366
cg00034039	0.174659629601315	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0362302989017305	UBE2S	19	55919836
cg00037763	0.929426321774377	SETBP1	18	42281763
cg00037940	0.920795629527666	PIK3CB	3	138479285
cg00040861	0.0127659153610864	LSM7;SPPL2B	19	2328391
cg00040873	0.13820206003814	NDUFB10	16	2009157
cg00041575	0.576632604356144	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.193215237799948	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0338613549579439	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0482306414996754	CUL5	11	107879431
cg00047469	0.0532850200926489	POLE3;C9orf43	9	116172568
cg00049986	0.292065975613303	NA	NA	0
cg00050312	0.013030187140269	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.03384558152366	C10orf4	10	95462161
cg00053292	0.01765034326402	TACO1	17	61678300
cg00053647	0.0486440364380721	C7orf28B	7	6866072
cg00054706	0.0156872473202916	C1D	2	68289972
cg00055233	0.115876105494436	RLN1	9	5339677
cg00056767	0.0441563237577646	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.289186642775079	GLRA1	5	151304357
cg00059424	0.0363088076145481	PES1	22	30988148
cg00059740	0.00642289635480287	C7orf49	7	134855689
cg00059930	0.947999164922822	RB1	13	48894382
cg00060762	0.0340406040036359	LEO1	15	52264133
cg00060882	0.105497227469673	EIF2S3	X	24072811
cg00061059	0.0236003735089891	TECR	19	14640983
cg00061629	0.972219993884629	ALX4	11	44325258
cg00062776	0.987036695834633	TULP2	19	49402424
cg00063144	0.952542997317603	KRT31	17	39554055
cg00065385	0.955925518918595	ACTL7A	9	111623395
cg00065408	0.0235059943216765	CACNB3	12	49212475
cg00066153	0.93385028261544	ACRV1	11	125550744
cg00066816	0.095753009072899	IL12B	5	158758353
cg00067471	0.0601963590620006	ATP5D	19	1241377
cg00069261	0.0335538575871649	CDR2	16	22386531
cg00071250	0.778579269373736	FASLG	1	172628263
cg00071998	0.0162667626412384	MSH5	6	31708121
cg00072216	0.014247077733315	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.237502481720112	STRA6	15	74495354
cg00076645	0.0235966599487329	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.856734291039633	ASAP1	8	131414474
cg00078194	0.0106290236860264	MDK	11	46402949
cg00078867	0.849757101909122	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0223828679696377	ARFGAP3	22	43253521
cg00080012	0.0156615257289542	EED	11	85955689
cg00081935	0.0244214742165142	TSPAN9	12	3186906
cg00081975	0.0136809400338758	ABCC3	17	48712370
cg00083720	0.00958362567172635	NA	NA	0
cg00083937	0.624144774166184	MAPK8IP2	22	51039805
cg00084687	0.00619159379135618	GATAD1	7	92076896
cg00089071	0.0225317024855833	PCGF2	17	36905809
cg00090147	0.847037862637475	GATA4	8	11562367
cg00091693	0.468236312803763	KRT20	17	39041602
cg00093177	0.910953937601734		17	37185495
cg00094319	0.847166922183674	PABPC3	13	25670530
cg00094851	0.0463897172978304	KIF3C	2	26205706
cg00095526	0.845770731957074	CACNA1S	1	201081686
cg00095674	0.0749279652004494	PLEKHO1	1	150122654
cg00096922	0.0236864512701374	DLX5	7	96654185
cg00097536	0.0132717887946985	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0106558190898403	PNPLA6	19	7599173
cg00099550	0.0243118463574989	NA	NA	0
cg00101227	0.902750931845366	MPZ	1	161280266
cg00103783	0.019496803857807	MPDU1	17	7487249
cg00105253	0.024488454621288	NUDT14	14	105647194
cg00105470	0.0195052264698111	C1orf35	1	228290868
cg00107187	0.0994679951366848	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0112947319300544	PGM2	4	37828500
cg00108454	0.356399194159697	C1QA	1	22963614
cg00109274	0.0481917865162497	DGKH	13	42623032
cg00112517	0.0157399868284187	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0688510611309843	CABP1	12	121078090
cg00115714	0.256562313246142	AMD1	6	111196112
cg00116234	0.0277296139808744	ADAMTSL1	9	18474243
cg00116838	0.0215555251501964	RTN2;FLJ40125	19	46001746
cg00117172	0.0211425422565345	RUNX3	1	25255838
cg00119079	0.0395622747305156	LAMP3	3	182880278
cg00121158	0.0133873235545278	KDM4C	9	6757826
cg00121640	0.121272620405477	ASTN2	9	120176515
cg00121904	0.336156074151027	MAOB	X	43741826
cg00123035	0.0127836805130546	RFX5	1	151319538
cg00126034	0.0365550687199721	WNT3	17	44896162
cg00126657	0.55389245654441	SSX6	X	47967250
cg00126698	0.697079741825456	BTK	X	100640503
cg00128197	0.296722914155714	HSD17B10	X	53461455
